epoch	nll	pg_loss	d_loss	d_accuracy	real_prob	fake_prob	avg_reward
0	8.630876	0.742560	0.261459	0.960500	0.798311	0.102684	0.127806
1	8.623343	0.564512	0.249675	0.958000	0.825346	0.092105	0.108930
2	8.528229	0.644835	0.246463	0.966500	0.840423	0.088568	0.115495
3	8.518818	0.460872	0.244888	0.961500	0.844459	0.090429	0.091840
4	8.583103	0.441615	0.241094	0.959500	0.846556	0.080058	0.088832
5	8.577975	0.570245	0.239336	0.965000	0.854528	0.085346	0.108619
6	8.534410	0.413651	0.240301	0.966500	0.852263	0.073984	0.085761
7	8.579443	0.385939	0.235771	0.964500	0.848598	0.066707	0.081472
8	8.570032	0.265214	0.233175	0.974500	0.861102	0.063255	0.059342
9	8.570940	0.364130	0.235613	0.969500	0.853338	0.080908	0.080927
10	8.571101	0.422887	0.232214	0.961000	0.854280	0.074718	0.087499
11	8.522214	0.394643	0.230778	0.975500	0.859822	0.057674	0.079928
12	8.521825	0.272210	0.231700	0.968000	0.852697	0.062209	0.062324
13	8.468687	0.261704	0.230084	0.964500	0.855665	0.065516	0.060575
14	8.453761	0.311710	0.228479	0.972500	0.857192	0.059190	0.070065
15	8.425197	0.341762	0.228166	0.973000	0.861582	0.056858	0.074973
16	8.365167	0.244695	0.225619	0.975000	0.864577	0.056050	0.057519
17	8.368678	0.333216	0.222538	0.977000	0.863232	0.046583	0.075229
18	8.374362	0.246233	0.223648	0.974000	0.863250	0.064948	0.057409
19	8.291016	0.280511	0.221936	0.978000	0.860112	0.045109	0.066469
20	8.321396	0.212351	0.222048	0.961000	0.854604	0.064897	0.048603
21	8.302481	0.254935	0.221421	0.977000	0.865175	0.050873	0.064639
22	8.289232	0.140917	0.219027	0.974000	0.858809	0.044347	0.034219
23	8.323339	0.242013	0.221015	0.967500	0.854595	0.058887	0.056645
24	8.332492	0.248674	0.219279	0.971500	0.857012	0.052332	0.059456
25	8.380142	0.240246	0.219025	0.975500	0.861237	0.045873	0.056217
26	8.365494	0.192579	0.217241	0.973000	0.860161	0.050001	0.048168
27	8.413157	0.259249	0.216298	0.977500	0.864738	0.044178	0.064149
28	8.417900	0.224115	0.216423	0.971000	0.866137	0.058047	0.055325
29	8.449306	0.285649	0.217499	0.973000	0.867486	0.059233	0.070869
30	8.404724	0.209434	0.216153	0.970000	0.857672	0.048619	0.052009
31	8.440150	0.150757	0.216408	0.974000	0.863701	0.042346	0.039443
32	8.422565	0.189718	0.216375	0.973500	0.860513	0.045320	0.050356
33	8.372519	0.280534	0.215334	0.974500	0.865412	0.050419	0.063484
34	8.340550	0.185652	0.214543	0.972500	0.859498	0.049112	0.049970
35	8.371049	0.106309	0.212708	0.976000	0.862891	0.045804	0.029745
36	8.335857	0.165115	0.212431	0.977000	0.866950	0.043980	0.042978
37	8.325888	0.278463	0.213037	0.971500	0.863541	0.045730	0.061158
38	8.328788	0.149573	0.212508	0.972500	0.864652	0.049958	0.038071
39	8.368308	0.283758	0.211314	0.974000	0.868061	0.049617	0.067044
40	8.312135	0.236097	0.211228	0.980000	0.868993	0.043119	0.059966
41	8.266789	0.167863	0.210663	0.971000	0.867822	0.050395	0.041157
42	8.269152	0.211933	0.208712	0.977000	0.871100	0.039366	0.049611
43	8.298031	0.103166	0.208460	0.975500	0.866700	0.046924	0.034858
44	8.287535	0.225843	0.209645	0.966000	0.863640	0.050806	0.055224
45	8.317608	0.200287	0.209489	0.974500	0.863915	0.044852	0.049936
46	8.264301	0.240596	0.210065	0.974000	0.867141	0.045832	0.057970
47	8.234110	0.142110	0.209846	0.976500	0.869217	0.039847	0.040785
48	8.298939	0.189798	0.208598	0.975000	0.873041	0.047256	0.051128
49	8.212848	0.202108	0.207370	0.976000	0.865586	0.036427	0.050145
