epoch	position	reward
0	0	0.085186
0	1	0.074097
0	2	0.074447
0	3	0.074403
0	4	0.074764
0	5	0.074084
0	6	0.074204
0	7	0.073401
0	8	0.075284
0	9	0.074154
0	10	0.073577
0	11	0.073893
0	12	0.072760
0	13	0.073806
0	14	0.074654
0	15	0.072103
0	16	0.070653
0	17	0.070994
0	18	0.070774
0	19	0.070358
0	0	0.054631
0	1	0.031937
0	2	0.031869
0	3	0.032306
0	4	0.032091
0	5	0.031992
0	6	0.031838
0	7	0.032090
0	8	0.032226
0	9	0.031324
0	10	0.032166
0	11	0.031616
0	12	0.031041
0	13	0.031499
0	14	0.031642
0	15	0.031165
0	16	0.031461
0	17	0.031999
0	18	0.031914
0	19	0.032075
0	0	0.083477
0	1	0.052773
0	2	0.053165
0	3	0.052518
0	4	0.053184
0	5	0.052790
0	6	0.052799
0	7	0.053482
0	8	0.052361
0	9	0.053017
0	10	0.052653
0	11	0.053062
0	12	0.052114
0	13	0.052382
0	14	0.053463
0	15	0.053007
0	16	0.052412
0	17	0.051352
0	18	0.051139
0	19	0.051876
1	0	0.064217
1	1	0.021085
1	2	0.021201
1	3	0.020707
1	4	0.021121
1	5	0.020962
1	6	0.020771
1	7	0.021471
1	8	0.021072
1	9	0.020494
1	10	0.021135
1	11	0.021302
1	12	0.021222
1	13	0.020881
1	14	0.021136
1	15	0.020509
1	16	0.020786
1	17	0.020733
1	18	0.020442
1	19	0.020598
1	0	0.087939
1	1	0.065779
1	2	0.065418
1	3	0.065702
1	4	0.066128
1	5	0.065647
1	6	0.065276
1	7	0.064916
1	8	0.065641
1	9	0.065319
1	10	0.065975
1	11	0.066741
1	12	0.065788
1	13	0.065151
1	14	0.063834
1	15	0.065599
1	16	0.066195
1	17	0.064344
1	18	0.063901
1	19	0.063374
1	0	0.078654
1	1	0.043177
1	2	0.043660
1	3	0.042690
1	4	0.042749
1	5	0.042950
1	6	0.043267
1	7	0.043047
1	8	0.043647
1	9	0.042897
1	10	0.043694
1	11	0.043397
1	12	0.043842
1	13	0.043231
1	14	0.044053
1	15	0.043789
1	16	0.043701
1	17	0.043669
1	18	0.044119
1	19	0.044256
2	0	0.060992
2	1	0.029311
2	2	0.028352
2	3	0.022028
2	4	0.020975
2	5	0.020513
2	6	0.020727
2	7	0.020901
2	8	0.020617
2	9	0.020965
2	10	0.021024
2	11	0.021049
2	12	0.021073
2	13	0.021008
2	14	0.021491
2	15	0.021670
2	16	0.021670
2	17	0.021375
2	18	0.021443
2	19	0.021208
2	0	0.093624
2	1	0.076522
2	2	0.078786
2	3	0.079268
2	4	0.078148
2	5	0.078093
2	6	0.078074
2	7	0.078576
2	8	0.078587
2	9	0.078229
2	10	0.078750
2	11	0.078409
2	12	0.077258
2	13	0.077670
2	14	0.077451
2	15	0.077638
2	16	0.078534
2	17	0.077370
2	18	0.077622
2	19	0.077062
2	0	0.072066
2	1	0.055015
2	2	0.054899
2	3	0.055241
2	4	0.054649
2	5	0.054970
2	6	0.055345
2	7	0.055994
2	8	0.055056
2	9	0.055160
2	10	0.055459
2	11	0.055372
2	12	0.054730
2	13	0.054707
2	14	0.054615
2	15	0.053752
2	16	0.054937
2	17	0.055965
2	18	0.055411
2	19	0.056781
3	0	0.151086
3	1	0.113964
3	2	0.114002
3	3	0.113790
3	4	0.114864
3	5	0.113615
3	6	0.114120
3	7	0.113980
3	8	0.114295
3	9	0.115095
3	10	0.113999
3	11	0.113000
3	12	0.113227
3	13	0.113450
3	14	0.112810
3	15	0.113384
3	16	0.114643
3	17	0.115630
3	18	0.114563
3	19	0.115147
3	0	0.044591
3	1	0.019894
3	2	0.017679
3	3	0.020658
3	4	0.020437
3	5	0.020591
3	6	0.020257
3	7	0.020831
3	8	0.020638
3	9	0.020554
3	10	0.020943
3	11	0.020768
3	12	0.021069
3	13	0.020574
3	14	0.020462
3	15	0.020301
3	16	0.020190
3	17	0.020334
3	18	0.019725
3	19	0.020252
3	0	0.064876
3	1	0.032529
3	2	0.032532
3	3	0.032520
3	4	0.032486
3	5	0.032789
3	6	0.033069
3	7	0.032217
3	8	0.032641
3	9	0.032274
3	10	0.032378
3	11	0.032337
3	12	0.032668
3	13	0.032278
3	14	0.032769
3	15	0.032063
3	16	0.032515
3	17	0.032374
3	18	0.031983
3	19	0.031909
4	0	0.091032
4	1	0.059245
4	2	0.062082
4	3	0.065269
4	4	0.063025
4	5	0.056025
4	6	0.056140
4	7	0.055689
4	8	0.056303
4	9	0.056335
4	10	0.056204
4	11	0.056631
4	12	0.056814
4	13	0.056379
4	14	0.055668
4	15	0.056885
4	16	0.056603
4	17	0.056023
4	18	0.056418
4	19	0.056315
4	0	0.077436
4	1	0.056219
4	2	0.055766
4	3	0.055912
4	4	0.055752
4	5	0.055985
4	6	0.055628
4	7	0.055160
4	8	0.055342
4	9	0.056669
4	10	0.055756
4	11	0.055791
4	12	0.056324
4	13	0.058358
4	14	0.057236
4	15	0.058033
4	16	0.057209
4	17	0.057120
4	18	0.057454
4	19	0.057530
4	0	0.074034
4	1	0.056153
4	2	0.055688
4	3	0.056341
4	4	0.055418
4	5	0.056174
4	6	0.055862
4	7	0.056673
4	8	0.056234
4	9	0.056549
4	10	0.055687
4	11	0.056131
4	12	0.055836
4	13	0.055632
4	14	0.054828
4	15	0.055043
4	16	0.055072
4	17	0.054262
4	18	0.053782
4	19	0.053547
5	0	0.103082
5	1	0.065956
5	2	0.068657
5	3	0.068334
5	4	0.068198
5	5	0.068766
5	6	0.068853
5	7	0.069032
5	8	0.069347
5	9	0.067511
5	10	0.068545
5	11	0.068153
5	12	0.067600
5	13	0.067455
5	14	0.068009
5	15	0.067486
5	16	0.066540
5	17	0.066621
5	18	0.067900
5	19	0.067554
5	0	0.115887
5	1	0.069372
5	2	0.067512
5	3	0.068909
5	4	0.068186
5	5	0.067956
5	6	0.068079
5	7	0.068098
5	8	0.068513
5	9	0.068079
5	10	0.068907
5	11	0.069083
5	12	0.069075
5	13	0.068752
5	14	0.070552
5	15	0.070058
5	16	0.070578
5	17	0.069580
5	18	0.070650
5	19	0.070389
5	0	0.044516
5	1	0.032706
5	2	0.032935
5	3	0.032853
5	4	0.032192
5	5	0.032198
5	6	0.032319
5	7	0.031790
5	8	0.032707
5	9	0.031895
5	10	0.032595
5	11	0.032481
5	12	0.032690
5	13	0.032666
5	14	0.032389
5	15	0.032647
5	16	0.032748
5	17	0.032473
5	18	0.032445
5	19	0.033180
6	0	0.101324
6	1	0.082381
6	2	0.081716
6	3	0.081116
6	4	0.082194
6	5	0.080956
6	6	0.081314
6	7	0.080603
6	8	0.081093
6	9	0.081115
6	10	0.080885
6	11	0.081546
6	12	0.081212
6	13	0.081722
6	14	0.080110
6	15	0.081664
6	16	0.080674
6	17	0.080052
6	18	0.080969
6	19	0.080655
6	0	0.116762
6	1	0.105539
6	2	0.106032
6	3	0.104695
6	4	0.105891
6	5	0.105865
6	6	0.106172
6	7	0.104744
6	8	0.106338
6	9	0.105920
6	10	0.105562
6	11	0.105185
6	12	0.106099
6	13	0.105559
6	14	0.105422
6	15	0.105592
6	16	0.106120
6	17	0.105830
6	18	0.106249
6	19	0.105439
6	0	0.088110
6	1	0.070226
6	2	0.069409
6	3	0.068905
6	4	0.069012
6	5	0.068854
6	6	0.069426
6	7	0.068499
6	8	0.069310
6	9	0.070126
6	10	0.068869
6	11	0.068654
6	12	0.068495
6	13	0.069472
6	14	0.068285
6	15	0.068296
6	16	0.067590
6	17	0.068424
6	18	0.069130
6	19	0.069708
7	0	0.077352
7	1	0.057066
7	2	0.057078
7	3	0.057046
7	4	0.057211
7	5	0.057135
7	6	0.057118
7	7	0.056950
7	8	0.057440
7	9	0.056906
7	10	0.057256
7	11	0.056913
7	12	0.056936
7	13	0.057005
7	14	0.056912
7	15	0.056828
7	16	0.055157
7	17	0.054261
7	18	0.055543
7	19	0.056191
