epoch	nll	pg_loss	d_loss	d_accuracy	real_prob	fake_prob	avg_reward
0	8.992071	0.271524	0.272191	0.964000	0.723288	0.059347	0.053658
1	9.051661	0.243482	0.258342	0.964000	0.750013	0.060814	0.044917
2	9.016608	0.284344	0.256452	0.965000	0.765298	0.060375	0.052903
3	9.051095	0.280326	0.252762	0.959500	0.774151	0.069128	0.057177
4	9.047338	0.254463	0.252469	0.961500	0.785038	0.065570	0.057745
5	9.020954	0.275423	0.249195	0.965000	0.795497	0.060585	0.058071
6	9.030549	0.421633	0.247035	0.964500	0.807278	0.060600	0.086119
7	9.034401	0.285779	0.243309	0.957500	0.813634	0.072957	0.066428
8	9.037526	0.267390	0.242691	0.963000	0.818834	0.065341	0.055044
9	9.042345	0.326145	0.242331	0.966500	0.826535	0.058005	0.075411
10	9.021762	0.330555	0.244003	0.957000	0.829469	0.073490	0.070934
11	9.034189	0.329953	0.245652	0.968000	0.834220	0.057133	0.070941
12	9.045774	0.298696	0.244160	0.962000	0.834965	0.066021	0.071713
13	9.072424	0.419205	0.243705	0.962000	0.837551	0.067170	0.097220
14	9.021455	0.248842	0.243956	0.961000	0.836477	0.066537	0.063782
15	9.059532	0.237407	0.247435	0.969500	0.836925	0.053986	0.053997
16	9.023859	0.186019	0.245709	0.968500	0.837476	0.055276	0.040335
17	9.051304	0.270055	0.249449	0.965500	0.836242	0.059650	0.058537
18	9.048243	0.302610	0.244469	0.963000	0.835933	0.063104	0.065805
19	9.048688	0.374602	0.249800	0.968500	0.835608	0.053652	0.083709
20	9.010986	0.357190	0.251248	0.953500	0.834194	0.076725	0.093526
21	9.025745	0.290131	0.252079	0.959000	0.835280	0.070866	0.070104
22	9.028525	0.225926	0.252414	0.962500	0.835083	0.065404	0.062607
23	8.985622	0.320695	0.256858	0.960000	0.834711	0.069235	0.066505
24	9.006895	0.429286	0.250173	0.959000	0.832562	0.069931	0.099039
25	8.981124	0.251814	0.256516	0.955000	0.834925	0.077034	0.061788
26	8.949823	0.279735	0.254134	0.957500	0.829937	0.070523	0.065506
27	9.013470	0.236035	0.255590	0.957000	0.830848	0.072430	0.060886
28	8.992647	0.224526	0.258610	0.956500	0.830169	0.073760	0.053179
29	8.987049	0.365075	0.258547	0.958500	0.828196	0.069864	0.084138
30	8.988567	0.177418	0.259116	0.955000	0.828524	0.078127	0.047823
31	8.955000	0.333448	0.261353	0.953500	0.828703	0.079626	0.082157
32	8.993925	0.345761	0.261581	0.950500	0.827968	0.083465	0.087223
33	8.996521	0.185806	0.266747	0.956000	0.825568	0.074921	0.051857
34	8.972722	0.334231	0.261477	0.949500	0.826083	0.086238	0.082505
35	9.009171	0.285536	0.264003	0.950000	0.823119	0.082936	0.072902
36	8.983151	0.358422	0.267049	0.947000	0.820395	0.087133	0.085898
37	9.032616	0.344080	0.264549	0.946000	0.819240	0.087684	0.094598
38	9.022694	0.374180	0.271309	0.940500	0.820179	0.096401	0.093720
39	9.041831	0.538704	0.272145	0.952500	0.820423	0.079727	0.132758
40	8.997231	0.312129	0.270841	0.947500	0.817432	0.087697	0.073052
41	8.982999	0.375163	0.280517	0.943000	0.816774	0.095217	0.102937
42	9.010963	0.334964	0.277179	0.945000	0.815065	0.092482	0.089037
43	8.994639	0.379441	0.279622	0.943500	0.814038	0.094692	0.101108
44	9.013065	0.334797	0.278611	0.937000	0.810364	0.102351	0.097295
45	8.985930	0.435519	0.282610	0.932000	0.807147	0.108988	0.113582
46	8.984653	0.320082	0.281410	0.935000	0.808343	0.104792	0.089593
47	9.035666	0.567801	0.284691	0.936500	0.806950	0.103097	0.142732
48	9.043015	0.332391	0.283271	0.946500	0.806142	0.087058	0.091994
49	9.041894	0.467541	0.292457	0.942500	0.804875	0.093638	0.128921
