phase	epoch	g_loss	pre_d_loss	pre_real_prob	pre_fake_prob	pre_accuracy	post_d_loss	post_real_prob	post_fake_prob	post_accuracy
pre-train-d-epoch	24	1	-	0.0140	0.9943	0.0057	0.9943
pre-train-d-epoch	24	2	-	0.0111	0.9958	0.0041	0.9958
pre-train-d-epoch	25	0	-	0.0285	0.9862	0.0135	0.9864
pre-train-d-epoch	25	1	-	0.0164	0.9925	0.0073	0.9926
pre-train-d-epoch	25	2	-	0.0113	0.9960	0.0043	0.9959
pre-train-d-epoch	26	0	-	0.0290	0.9852	0.0146	0.9853
pre-train-d-epoch	26	1	-	0.0152	0.9931	0.0066	0.9932
pre-train-d-epoch	26	2	-	0.0099	0.9964	0.0037	0.9964
pre-train-d-epoch	27	0	-	0.0267	0.9874	0.0123	0.9876
pre-train-d-epoch	27	1	-	0.0128	0.9948	0.0054	0.9947
pre-train-d-epoch	27	2	-	0.0103	0.9958	0.0041	0.9959
pre-train-d-epoch	28	0	-	0.0217	0.9899	0.0101	0.9899
pre-train-d-epoch	28	1	-	0.0129	0.9942	0.0056	0.9943
pre-train-d-epoch	28	2	-	0.0089	0.9967	0.0034	0.9966
pre-train-d-epoch	29	0	-	0.0199	0.9905	0.0095	0.9905
pre-train-d-epoch	29	1	-	0.0108	0.9953	0.0045	0.9954
pre-train-d-epoch	29	2	-	0.0106	0.9954	0.0047	0.9954
pre-train-d-epoch	30	0	-	0.0190	0.9909	0.0089	0.9910
pre-train-d-epoch	30	1	-	0.0108	0.9954	0.0046	0.9954
pre-train-d-epoch	30	2	-	0.0079	0.9969	0.0031	0.9969
pre-train-d-epoch	31	0	-	0.0195	0.9906	0.0092	0.9907
pre-train-d-epoch	31	1	-	0.0095	0.9961	0.0039	0.9961
pre-train-d-epoch	31	2	-	0.0066	0.9975	0.0025	0.9975
pre-train-d-epoch	32	0	-	0.0193	0.9907	0.0092	0.9908
pre-train-d-epoch	32	1	-	0.0090	0.9964	0.0035	0.9964
pre-train-d-epoch	32	2	-	0.0083	0.9965	0.0036	0.9965
pre-train-d-epoch	33	0	-	0.0197	0.9904	0.0094	0.9905
pre-train-d-epoch	33	1	-	0.0079	0.9967	0.0033	0.9967
pre-train-d-epoch	33	2	-	0.0075	0.9968	0.0031	0.9968
pre-train-d-epoch	34	0	-	0.0192	0.9907	0.0092	0.9907
pre-train-d-epoch	34	1	-	0.0084	0.9967	0.0034	0.9967
pre-train-d-epoch	34	2	-	0.0061	0.9977	0.0023	0.9977
pre-train-d-epoch	35	0	-	0.0189	0.9908	0.0090	0.9909
pre-train-d-epoch	35	1	-	0.0074	0.9971	0.0030	0.9970
pre-train-d-epoch	35	2	-	0.0058	0.9977	0.0023	0.9977
pre-train-d-epoch	36	0	-	0.0172	0.9919	0.0079	0.9920
pre-train-d-epoch	36	1	-	0.0083	0.9964	0.0035	0.9965
pre-train-d-epoch	36	2	-	0.0057	0.9977	0.0023	0.9977
pre-train-d-epoch	37	0	-	0.0143	0.9929	0.0068	0.9930
pre-train-d-epoch	37	1	-	0.0085	0.9963	0.0038	0.9963
pre-train-d-epoch	37	2	-	0.0052	0.9979	0.0021	0.9979
pre-train-d-epoch	38	0	-	0.0147	0.9930	0.0068	0.9931
pre-train-d-epoch	38	1	-	0.0075	0.9967	0.0033	0.9967
pre-train-d-epoch	38	2	-	0.0059	0.9976	0.0025	0.9975
pre-train-d-epoch	39	0	-	0.0146	0.9929	0.0071	0.9929
