epoch	position	reward
0	0	0.185421
0	1	0.104360
0	2	0.084904
0	3	0.083190
0	4	0.084113
0	5	0.083376
0	6	0.084908
0	7	0.084536
0	8	0.083349
0	9	0.083069
0	10	0.082690
0	11	0.081912
0	12	0.081909
0	13	0.081706
0	14	0.081587
0	15	0.081453
0	16	0.082286
0	17	0.082696
0	18	0.084027
0	19	0.083945
0	0	0.134398
0	1	0.088354
0	2	0.070519
0	3	0.064796
0	4	0.062812
0	5	0.062697
0	6	0.062446
0	7	0.063782
0	8	0.063604
0	9	0.062391
0	10	0.063430
0	11	0.062832
0	12	0.062620
0	13	0.063119
0	14	0.063383
0	15	0.063645
0	16	0.063520
0	17	0.064884
0	18	0.064539
0	19	0.064196
0	0	0.153685
0	1	0.095142
0	2	0.059418
0	3	0.056514
0	4	0.050821
0	5	0.051875
0	6	0.051304
0	7	0.052383
0	8	0.051660
0	9	0.050946
0	10	0.052494
0	11	0.051159
0	12	0.050497
0	13	0.050163
0	14	0.050073
0	15	0.050850
0	16	0.050582
0	17	0.052510
0	18	0.052867
0	19	0.052863
1	0	0.123770
1	1	0.096994
1	2	0.082718
1	3	0.081250
1	4	0.079912
1	5	0.079855
1	6	0.079277
1	7	0.079531
1	8	0.079222
1	9	0.079430
1	10	0.080352
1	11	0.079106
1	12	0.080093
1	13	0.080246
1	14	0.080015
1	15	0.079565
1	16	0.080568
1	17	0.079516
1	18	0.080423
1	19	0.080293
1	0	0.118716
1	1	0.069460
1	2	0.042298
1	3	0.043100
1	4	0.041684
1	5	0.042239
1	6	0.042545
1	7	0.042178
1	8	0.043025
1	9	0.042277
1	10	0.043079
1	11	0.042451
1	12	0.042404
1	13	0.041458
1	14	0.041496
1	15	0.041573
1	16	0.041438
1	17	0.041939
1	18	0.041812
1	19	0.041695
1	0	0.156568
1	1	0.091038
1	2	0.074912
1	3	0.072270
1	4	0.069313
1	5	0.069847
1	6	0.068381
1	7	0.067604
1	8	0.066865
1	9	0.067940
1	10	0.066755
1	11	0.067270
1	12	0.066476
1	13	0.067304
1	14	0.068018
1	15	0.068567
1	16	0.068230
1	17	0.068281
1	18	0.068287
1	19	0.067208
2	0	0.181286
2	1	0.109299
2	2	0.102104
2	3	0.101041
2	4	0.101643
2	5	0.101477
2	6	0.102471
2	7	0.101368
2	8	0.101548
2	9	0.101751
2	10	0.102430
2	11	0.101978
2	12	0.101953
2	13	0.099749
2	14	0.099701
2	15	0.100562
2	16	0.101334
2	17	0.101184
2	18	0.101439
2	19	0.101837
2	0	0.145107
2	1	0.099980
2	2	0.088451
2	3	0.089626
2	4	0.088520
2	5	0.086396
2	6	0.088377
2	7	0.087026
2	8	0.089081
2	9	0.087253
2	10	0.086726
2	11	0.086381
2	12	0.085056
2	13	0.084682
2	14	0.085051
2	15	0.086462
2	16	0.086469
2	17	0.086812
2	18	0.087355
2	19	0.088649
2	0	0.193247
2	1	0.110978
2	2	0.105052
2	3	0.095875
2	4	0.095077
2	5	0.100583
2	6	0.098525
2	7	0.099204
2	8	0.095682
2	9	0.097827
2	10	0.098463
2	11	0.097683
2	12	0.095841
2	13	0.097169
2	14	0.097392
2	15	0.096934
2	16	0.097786
2	17	0.097804
2	18	0.098711
2	19	0.098371
3	0	0.123009
3	1	0.082816
3	2	0.072306
3	3	0.071068
3	4	0.071146
3	5	0.073321
3	6	0.069733
3	7	0.069410
3	8	0.068544
3	9	0.069071
3	10	0.068899
3	11	0.069183
3	12	0.067410
3	13	0.066828
3	14	0.067616
3	15	0.066863
3	16	0.066717
3	17	0.067261
3	18	0.066644
3	19	0.067170
3	0	0.130000
3	1	0.061712
3	2	0.053519
3	3	0.054639
3	4	0.055417
3	5	0.054032
3	6	0.053627
3	7	0.053987
3	8	0.055138
3	9	0.055310
3	10	0.054915
3	11	0.054651
