epoch	position	reward
0	0	0.196892
0	1	0.123397
0	2	0.080844
0	3	0.077255
0	4	0.078508
0	5	0.079615
0	6	0.079885
0	7	0.080540
0	8	0.077802
0	9	0.075684
0	10	0.077858
0	11	0.076192
0	12	0.077572
0	13	0.077236
0	14	0.077117
0	15	0.077727
0	16	0.077905
0	17	0.077618
0	18	0.078438
0	19	0.078127
0	0	0.167805
0	1	0.077574
0	2	0.062255
0	3	0.057802
0	4	0.052928
0	5	0.056311
0	6	0.057628
0	7	0.058269
0	8	0.056340
0	9	0.058020
0	10	0.057700
0	11	0.056023
0	12	0.056691
0	13	0.056295
0	14	0.056135
0	15	0.055946
0	16	0.055998
0	17	0.056638
0	18	0.056758
0	19	0.057150
0	0	0.241313
0	1	0.126289
0	2	0.107194
0	3	0.091975
0	4	0.095790
0	5	0.094172
0	6	0.093373
0	7	0.093777
0	8	0.093545
0	9	0.090970
0	10	0.090212
0	11	0.091392
0	12	0.093078
0	13	0.092213
0	14	0.093532
0	15	0.093022
0	16	0.093391
0	17	0.092930
0	18	0.092560
0	19	0.092507
1	0	0.219458
1	1	0.113759
1	2	0.095139
1	3	0.090666
1	4	0.090480
1	5	0.091469
1	6	0.091565
1	7	0.095155
1	8	0.096081
1	9	0.091141
1	10	0.090610
1	11	0.090604
1	12	0.092387
1	13	0.092396
1	14	0.093092
1	15	0.090613
1	16	0.091567
1	17	0.092104
1	18	0.091780
1	19	0.092338
1	0	0.167586
1	1	0.106170
1	2	0.076848
1	3	0.074901
1	4	0.070299
1	5	0.072169
1	6	0.067782
1	7	0.067933
1	8	0.068589
1	9	0.066978
1	10	0.067304
1	11	0.067071
1	12	0.067065
1	13	0.066985
1	14	0.067069
1	15	0.067127
1	16	0.067343
1	17	0.067710
1	18	0.066886
1	19	0.066650
1	0	0.224147
1	1	0.136667
1	2	0.117589
1	3	0.114614
1	4	0.114016
1	5	0.112712
1	6	0.112121
1	7	0.107487
1	8	0.106517
1	9	0.106307
1	10	0.105672
1	11	0.106514
1	12	0.106107
1	13	0.105217
1	14	0.105475
1	15	0.105679
1	16	0.105272
1	17	0.105593
1	18	0.104809
1	19	0.104954
2	0	0.224030
2	1	0.119168
2	2	0.090622
2	3	0.087555
2	4	0.084653
2	5	0.086236
2	6	0.088925
2	7	0.087386
2	8	0.086772
2	9	0.086242
2	10	0.085963
2	11	0.086129
2	12	0.086665
2	13	0.085782
2	14	0.086083
2	15	0.085475
2	16	0.085440
2	17	0.085803
2	18	0.085075
2	19	0.085175
2	0	0.206491
2	1	0.125929
2	2	0.102900
2	3	0.105813
2	4	0.102430
2	5	0.098604
2	6	0.098619
2	7	0.099329
2	8	0.099213
2	9	0.097562
2	10	0.098107
2	11	0.098632
2	12	0.097231
2	13	0.097587
2	14	0.097607
2	15	0.096996
2	16	0.097391
2	17	0.097716
2	18	0.098129
2	19	0.097963
2	0	0.237960
2	1	0.143108
2	2	0.114281
2	3	0.115869
2	4	0.111354
2	5	0.107665
2	6	0.109108
2	7	0.108267
2	8	0.107626
2	9	0.108400
2	10	0.107834
2	11	0.106992
2	12	0.107027
2	13	0.107351
2	14	0.107108
2	15	0.106810
2	16	0.107522
2	17	0.107307
2	18	0.106965
2	19	0.106653
3	0	0.186916
3	1	0.101060
3	2	0.071310
3	3	0.069666
3	4	0.070972
3	5	0.070746
3	6	0.068623
3	7	0.067806
3	8	0.067589
3	9	0.067405
3	10	0.067695
3	11	0.067468
3	12	0.067227
3	13	0.067713
3	14	0.067742
3	15	0.067502
3	16	0.067880
3	17	0.068028
3	18	0.067789
3	19	0.068258
3	0	0.229714
3	1	0.133330
3	2	0.122949
3	3	0.116870
3	4	0.119910
3	5	0.116770
3	6	0.114061
3	7	0.114776
3	8	0.115055
3	9	0.111695
3	10	0.110366
3	11	0.110402
3	12	0.109499
