epoch	position	reward
0	0	0.326445
0	1	0.152868
0	2	0.094268
0	3	0.089138
0	4	0.087183
0	5	0.087050
0	6	0.084720
0	7	0.085735
0	8	0.085751
0	9	0.086964
0	10	0.086144
0	11	0.086335
0	12	0.086116
0	13	0.086256
0	14	0.086261
0	15	0.086112
0	16	0.086065
0	17	0.086013
0	18	0.086033
0	19	0.086128
0	0	0.324488
0	1	0.146886
0	2	0.092328
0	3	0.090044
0	4	0.086266
0	5	0.075938
0	6	0.075234
0	7	0.077164
0	8	0.082025
0	9	0.078398
0	10	0.078368
0	11	0.078383
0	12	0.079581
0	13	0.080166
0	14	0.080116
0	15	0.080281
0	16	0.080278
0	17	0.080272
0	18	0.080082
0	19	0.079844
0	0	0.346322
0	1	0.151864
0	2	0.089369
0	3	0.083660
0	4	0.084186
0	5	0.080849
0	6	0.080242
0	7	0.080489
0	8	0.078628
0	9	0.078487
0	10	0.078399
0	11	0.078206
0	12	0.078241
0	13	0.078380
0	14	0.078463
0	15	0.078266
0	16	0.078254
0	17	0.078704
0	18	0.078747
0	19	0.078654
1	0	0.296497
1	1	0.094618
1	2	0.049701
1	3	0.030575
1	4	0.036544
1	5	0.039432
1	6	0.036833
1	7	0.036592
1	8	0.034189
1	9	0.036206
1	10	0.037818
1	11	0.037577
1	12	0.038364
1	13	0.038190
1	14	0.038203
1	15	0.038100
1	16	0.038204
1	17	0.038310
1	18	0.038183
1	19	0.038104
1	0	0.322153
1	1	0.127229
1	2	0.081512
1	3	0.080792
1	4	0.071724
1	5	0.071045
1	6	0.071809
1	7	0.071218
1	8	0.071362
1	9	0.071152
1	10	0.071155
1	11	0.071215
1	12	0.071185
1	13	0.071125
1	14	0.071104
1	15	0.071035
1	16	0.071060
1	17	0.071155
1	18	0.071049
1	19	0.071024
1	0	0.328671
1	1	0.168509
1	2	0.137345
1	3	0.134008
1	4	0.136836
1	5	0.136786
1	6	0.135953
1	7	0.136201
1	8	0.134761
1	9	0.134767
1	10	0.135219
1	11	0.134928
1	12	0.134255
1	13	0.133162
1	14	0.134799
1	15	0.134541
1	16	0.134978
1	17	0.135051
1	18	0.134702
1	19	0.134853
2	0	0.279406
2	1	0.100384
2	2	0.060299
2	3	0.062005
2	4	0.058761
2	5	0.063473
2	6	0.062726
2	7	0.062874
2	8	0.064822
2	9	0.065057
2	10	0.065618
2	11	0.065755
2	12	0.065767
2	13	0.065583
2	14	0.065385
2	15	0.065011
2	16	0.065334
2	17	0.065138
2	18	0.065522
2	19	0.065608
2	0	0.308555
2	1	0.125611
2	2	0.066572
2	3	0.064081
2	4	0.053690
2	5	0.052952
2	6	0.054162
2	7	0.052714
2	8	0.051848
2	9	0.052841
2	10	0.053339
2	11	0.053246
2	12	0.052926
2	13	0.052912
2	14	0.053020
2	15	0.052980
2	16	0.053125
2	17	0.053190
2	18	0.053085
2	19	0.053035
2	0	0.263741
2	1	0.090882
2	2	0.048769
2	3	0.046301
2	4	0.042004
2	5	0.041479
2	6	0.041643
2	7	0.041308
2	8	0.041569
2	9	0.041338
2	10	0.041402
2	11	0.041574
2	12	0.041481
