epoch	nll	pg_loss	d_loss	d_accuracy	real_prob	fake_prob	avg_reward
0	8.896227	0.465150	0.247790	0.952500	0.797024	0.068060	0.098436
1	8.918653	0.456064	0.239323	0.960000	0.814438	0.059213	0.095894
2	8.873083	0.293510	0.236049	0.957000	0.825724	0.058390	0.067695
3	8.860730	0.368367	0.232527	0.963500	0.828713	0.060148	0.081765
4	8.903419	0.330284	0.231494	0.959000	0.834227	0.055490	0.074256
5	8.824085	0.270800	0.228971	0.954500	0.835948	0.060799	0.060546
6	8.850178	0.363710	0.228726	0.958000	0.838102	0.052760	0.081774
7	8.833716	0.319567	0.227175	0.953500	0.834091	0.062445	0.072215
8	8.870319	0.211038	0.227123	0.964000	0.838633	0.052168	0.051356
9	8.813889	0.285474	0.225212	0.954000	0.835380	0.057586	0.070813
10	8.838993	0.250421	0.226217	0.961000	0.832526	0.052171	0.057061
11	8.895433	0.284030	0.224867	0.958500	0.840534	0.061798	0.063973
12	8.843848	0.282921	0.221545	0.955000	0.844999	0.060943	0.067751
13	8.826997	0.131900	0.222390	0.960500	0.839804	0.048248	0.033628
14	8.897748	0.252746	0.221682	0.959500	0.842979	0.052059	0.061733
15	8.868609	0.285628	0.220928	0.963000	0.845852	0.053407	0.065370
16	8.797487	0.243133	0.217829	0.962500	0.845035	0.045958	0.058189
17	8.886661	0.311842	0.217821	0.963500	0.846823	0.051481	0.070805
18	8.852999	0.189782	0.219168	0.961000	0.838137	0.046315	0.047598
19	8.918164	0.276752	0.216324	0.969500	0.841490	0.035208	0.065842
20	8.838737	0.254583	0.217864	0.964500	0.850999	0.047934	0.060675
21	8.860152	0.270138	0.215521	0.963000	0.848290	0.050843	0.062208
22	8.855773	0.213001	0.217137	0.968000	0.849588	0.042761	0.051579
23	8.849072	0.289142	0.216676	0.971500	0.852999	0.041036	0.071901
24	8.874019	0.202323	0.215498	0.964000	0.844341	0.039264	0.049592
25	8.944147	0.210068	0.215643	0.964000	0.850445	0.044496	0.052700
26	8.880015	0.239997	0.212990	0.961000	0.845632	0.047402	0.061900
27	8.878376	0.181742	0.216096	0.967500	0.846168	0.043793	0.046717
28	8.912321	0.328045	0.213065	0.965000	0.848967	0.044311	0.073883
29	8.906296	0.275756	0.213426	0.967500	0.848497	0.039600	0.065938
30	8.887725	0.238801	0.212683	0.970000	0.851787	0.037473	0.056095
31	8.902806	0.193811	0.212414	0.966500	0.850524	0.045759	0.048764
32	8.868334	0.197100	0.214256	0.967500	0.849227	0.044249	0.049400
33	8.880568	0.211025	0.213077	0.971000	0.843785	0.027040	0.054684
34	8.880569	0.198312	0.211193	0.971500	0.854144	0.037923	0.054936
35	8.818059	0.232254	0.210464	0.974000	0.855482	0.039915	0.059191
36	8.849648	0.163264	0.209780	0.964500	0.847745	0.037810	0.044024
37	8.829298	0.155170	0.209457	0.972000	0.859991	0.041748	0.045392
38	8.848585	0.206887	0.206875	0.964500	0.855555	0.041928	0.054569
39	8.859360	0.185404	0.206676	0.966500	0.849874	0.040751	0.046780
40	8.840131	0.131051	0.207936	0.975000	0.853990	0.026725	0.036371
41	8.857712	0.178237	0.207643	0.975000	0.858298	0.034165	0.049714
42	8.830326	0.133486	0.206531	0.975000	0.854701	0.033357	0.039049
43	8.870250	0.187434	0.205789	0.972000	0.853605	0.035792	0.047966
44	8.870516	0.202966	0.205558	0.970000	0.850298	0.037439	0.051314
45	8.837653	0.185815	0.206409	0.974500	0.861582	0.037987	0.048700
46	8.844104	0.156637	0.203168	0.975500	0.860323	0.030778	0.041885
47	8.877562	0.291850	0.203636	0.976500	0.860694	0.033903	0.072193
48	8.873683	0.165456	0.203557	0.974000	0.857226	0.031616	0.048705
49	8.823111	0.177073	0.203940	0.974500	0.865434	0.039123	0.047026
