epoch	nll	pg_loss	d_loss	d_accuracy	real_prob	fake_prob	avg_reward
0	8.736715	0.347011	0.239149	0.971000	0.804990	0.064086	0.079858
1	8.711586	0.389583	0.230868	0.972500	0.830139	0.064870	0.085422
2	8.735358	0.325293	0.226904	0.971000	0.845050	0.058673	0.077534
3	8.708389	0.269132	0.221559	0.972000	0.848817	0.052593	0.063959
4	8.723222	0.247299	0.218250	0.971000	0.853165	0.043084	0.057726
5	8.713587	0.372613	0.214699	0.973000	0.858108	0.038734	0.088015
6	8.712976	0.136151	0.213786	0.969500	0.858718	0.047911	0.038964
7	8.735281	0.143864	0.211862	0.974000	0.870908	0.043424	0.038319
8	8.721066	0.276260	0.209235	0.976500	0.866608	0.035594	0.062647
9	8.707874	0.189987	0.209213	0.977000	0.867713	0.035085	0.046693
10	8.748245	0.184890	0.208093	0.971500	0.866889	0.039213	0.042788
11	8.710670	0.130862	0.207134	0.979500	0.869345	0.031800	0.036121
12	8.707680	0.176707	0.206266	0.975000	0.863260	0.027465	0.050370
13	8.721925	0.137438	0.204655	0.974000	0.865605	0.033171	0.039006
14	8.753303	0.169236	0.202141	0.974500	0.874281	0.039890	0.046044
15	8.688443	0.209584	0.204947	0.983000	0.875916	0.027060	0.053695
16	8.703860	0.134090	0.204755	0.987000	0.875719	0.027563	0.036199
17	8.685246	0.095584	0.203850	0.981500	0.868216	0.024014	0.030188
18	8.730537	0.136953	0.201902	0.979500	0.866138	0.023886	0.039710
19	8.704162	0.147825	0.202411	0.977000	0.864833	0.029882	0.041054
20	8.738905	0.146088	0.201052	0.979500	0.871563	0.033261	0.042355
21	8.713128	0.086558	0.200375	0.973000	0.864222	0.035234	0.025648
22	8.721724	0.116501	0.199977	0.977000	0.873091	0.035914	0.034084
23	8.725669	0.189453	0.199429	0.977000	0.869182	0.033351	0.048594
24	8.744438	0.153019	0.199061	0.982500	0.868557	0.019364	0.043827
25	8.738341	0.098965	0.198575	0.979000	0.875696	0.030088	0.032666
26	8.708848	0.153749	0.198339	0.980000	0.871333	0.026703	0.041126
27	8.759274	0.142506	0.197241	0.983500	0.870496	0.015770	0.037229
28	8.715707	0.093068	0.196194	0.978000	0.875877	0.028055	0.029381
29	8.723358	0.107582	0.196133	0.981000	0.872228	0.029319	0.035632
30	8.724010	0.174353	0.195240	0.984500	0.872742	0.019324	0.045727
31	8.721767	0.079628	0.194493	0.986500	0.878158	0.019498	0.025979
32	8.750299	0.052901	0.194154	0.988000	0.875710	0.019905	0.020172
33	8.709049	0.095402	0.193287	0.979500	0.873479	0.024276	0.031989
34	8.738410	0.134762	0.193354	0.983000	0.878902	0.030203	0.036287
35	8.741855	0.103567	0.193041	0.986000	0.878041	0.022528	0.030415
36	8.743377	0.094741	0.191938	0.982500	0.873006	0.020903	0.029852
37	8.741784	0.039167	0.191205	0.981000	0.873421	0.023993	0.017745
38	8.750010	0.138216	0.191124	0.984500	0.877052	0.023396	0.039081
39	8.731847	0.111499	0.191476	0.985000	0.879030	0.023016	0.032587
40	8.729877	0.128540	0.190183	0.983000	0.875985	0.017708	0.037185
41	8.731620	0.070219	0.187529	0.985000	0.882002	0.020753	0.025841
42	8.718299	0.073236	0.189698	0.986500	0.878257	0.017027	0.023944
43	8.707101	0.118224	0.188503	0.988000	0.884679	0.020033	0.037222
44	8.722295	0.065325	0.189409	0.985000	0.883462	0.024515	0.022194
45	8.704675	0.101498	0.189315	0.989500	0.880123	0.015883	0.034350
46	8.692542	0.050750	0.189126	0.982500	0.877100	0.018558	0.019463
47	8.717227	0.125087	0.188773	0.983000	0.880019	0.024042	0.038059
48	8.726055	0.134069	0.188593	0.981000	0.874194	0.025353	0.036098
49	8.762681	0.085210	0.186666	0.986500	0.881132	0.018557	0.027358
