epoch	nll	pg_loss	d_loss	d_accuracy	real_prob	fake_prob	avg_reward
0	8.917876	0.523220	0.261155	0.962000	0.796594	0.092714	0.119069
1	8.852635	0.449333	0.253774	0.962000	0.810163	0.090462	0.101908
2	8.837783	0.298804	0.248756	0.959000	0.809852	0.078995	0.075356
3	8.812268	0.443252	0.245006	0.966000	0.819302	0.077231	0.094039
4	8.815730	0.478867	0.241315	0.957000	0.817895	0.084008	0.105168
5	8.791370	0.403942	0.241989	0.963000	0.824031	0.075628	0.091783
6	8.798594	0.392938	0.238289	0.962000	0.824623	0.072459	0.089993
7	8.795907	0.369696	0.239416	0.963500	0.827388	0.064183	0.081444
8	8.766948	0.306704	0.239211	0.962500	0.831737	0.068340	0.072424
9	8.743148	0.309221	0.236785	0.961500	0.824274	0.060433	0.070657
10	8.752213	0.289234	0.236709	0.968500	0.838136	0.062029	0.070084
11	8.778676	0.328408	0.238545	0.969000	0.843530	0.066066	0.077998
12	8.726153	0.267572	0.236411	0.959000	0.834826	0.065418	0.062875
13	8.690642	0.313441	0.237966	0.959000	0.833022	0.071792	0.076541
14	8.723043	0.385888	0.236603	0.965500	0.837087	0.056538	0.086833
15	8.714302	0.218231	0.238171	0.953000	0.830938	0.070873	0.055730
16	8.731541	0.281106	0.236608	0.960000	0.836507	0.059726	0.066764
17	8.724907	0.335765	0.234695	0.961500	0.837950	0.067238	0.074994
18	8.695112	0.289179	0.234712	0.963000	0.838483	0.056700	0.065638
19	8.690828	0.324067	0.235424	0.961500	0.836899	0.057803	0.079615
20	8.661203	0.358349	0.235465	0.957500	0.835129	0.056339	0.085604
21	8.684237	0.273044	0.236677	0.970000	0.843328	0.054104	0.071004
22	8.669497	0.253463	0.235478	0.961500	0.838699	0.058699	0.061371
23	8.703119	0.275349	0.232776	0.958500	0.839324	0.061182	0.067442
24	8.604086	0.252992	0.235072	0.956500	0.830799	0.058974	0.063620
25	8.642756	0.248579	0.232074	0.968000	0.844692	0.054549	0.064761
26	8.649981	0.242842	0.232742	0.968000	0.843295	0.050926	0.059994
27	8.666809	0.242360	0.234133	0.959000	0.839142	0.059247	0.061685
28	8.572824	0.250955	0.234145	0.954000	0.831766	0.063067	0.061491
29	8.613358	0.215357	0.232298	0.950000	0.827876	0.059528	0.057794
30	8.625465	0.212720	0.234793	0.960000	0.835624	0.059686	0.060145
31	8.611500	0.207098	0.232322	0.963000	0.837450	0.060566	0.051725
32	8.636834	0.224637	0.233061	0.964500	0.838145	0.048984	0.062166
33	8.616430	0.194158	0.230856	0.962500	0.845735	0.063342	0.051786
34	8.594702	0.262257	0.233535	0.962000	0.842245	0.057214	0.071271
35	8.584352	0.220135	0.233827	0.961000	0.836125	0.054218	0.054110
36	8.640084	0.229718	0.231764	0.963500	0.843153	0.053994	0.063486
37	8.557498	0.270325	0.231793	0.965000	0.844728	0.053368	0.068154
38	8.588547	0.182095	0.232264	0.954000	0.836085	0.062544	0.050923
39	8.642442	0.215222	0.232709	0.956000	0.830722	0.052985	0.056964
40	8.523856	0.180072	0.232554	0.957500	0.832748	0.056745	0.049392
41	8.576011	0.172140	0.231227	0.962500	0.839639	0.052852	0.047785
42	8.585655	0.222025	0.230867	0.962000	0.842902	0.052742	0.056766
43	8.561065	0.203005	0.229123	0.956000	0.840324	0.059393	0.055709
44	8.605630	0.204720	0.231400	0.959500	0.839534	0.058123	0.057382
45	8.583291	0.251067	0.229744	0.966000	0.842768	0.056468	0.064925
46	8.548217	0.185294	0.230682	0.966500	0.842755	0.053954	0.051792
47	8.556950	0.169687	0.228923	0.967500	0.840004	0.046126	0.049521
48	8.562634	0.208591	0.230091	0.959500	0.836961	0.060872	0.059075
49	8.560404	0.238375	0.230577	0.963500	0.837543	0.048397	0.062928
