epoch	nll	pg_loss	d_loss	d_accuracy	real_prob	fake_prob	avg_reward
0	9.080131	0.424037	0.263405	0.950000	0.794971	0.085460	0.099740
1	9.080977	0.464457	0.260170	0.957500	0.800197	0.070479	0.101097
2	9.012182	0.457359	0.256379	0.956000	0.809776	0.075387	0.104525
3	9.016841	0.436605	0.253886	0.947500	0.814534	0.077344	0.093845
4	9.036489	0.432964	0.252518	0.948500	0.817072	0.077480	0.096367
5	9.040580	0.305142	0.251509	0.938500	0.811866	0.077085	0.071628
6	9.054916	0.242259	0.250249	0.948000	0.821403	0.071146	0.057566
7	9.012571	0.303902	0.252580	0.946500	0.821357	0.069536	0.068711
8	9.003560	0.472368	0.251328	0.949500	0.825907	0.066088	0.108769
9	8.990908	0.246435	0.250615	0.949500	0.822441	0.072541	0.060816
10	9.013470	0.343168	0.249926	0.954000	0.825606	0.064587	0.080013
11	9.015743	0.339565	0.249073	0.941000	0.824118	0.073164	0.074518
12	8.977590	0.293955	0.250655	0.948500	0.821776	0.067774	0.065376
13	8.956578	0.425775	0.251153	0.953500	0.826590	0.061500	0.092295
14	9.026275	0.239891	0.250877	0.956000	0.827770	0.062670	0.060099
15	9.016685	0.248766	0.250249	0.943500	0.828943	0.071976	0.063320
16	8.963256	0.297902	0.249836	0.954000	0.830201	0.063937	0.073867
17	8.988274	0.269350	0.252461	0.941500	0.820007	0.078826	0.065185
18	8.995096	0.424327	0.251557	0.952000	0.829682	0.070258	0.098168
19	8.997280	0.307694	0.251366	0.950500	0.827811	0.063589	0.077855
20	8.989852	0.289594	0.251930	0.942500	0.821472	0.075997	0.072441
21	8.975533	0.341661	0.250053	0.943500	0.816859	0.069571	0.083184
22	8.954831	0.288737	0.251061	0.944500	0.826027	0.073851	0.069160
23	8.941979	0.290911	0.252436	0.952000	0.829914	0.068962	0.072684
24	8.948536	0.330819	0.252415	0.941000	0.817318	0.074606	0.078791
25	8.995175	0.264727	0.252269	0.947500	0.826109	0.070411	0.065134
26	8.969450	0.352701	0.253710	0.939500	0.828647	0.084983	0.081731
27	8.982498	0.241178	0.252853	0.954500	0.822786	0.064339	0.062426
28	8.981371	0.255022	0.252977	0.946500	0.820795	0.076117	0.064872
29	8.915419	0.469204	0.253573	0.945500	0.823138	0.071456	0.111374
30	8.950195	0.381906	0.254798	0.953500	0.818451	0.071810	0.095812
31	8.936315	0.316911	0.255400	0.947500	0.821449	0.074882	0.073406
32	8.857182	0.302348	0.259053	0.948500	0.819055	0.069573	0.072481
33	8.948922	0.468990	0.258199	0.949000	0.830606	0.085156	0.114049
34	8.929154	0.301082	0.255899	0.944500	0.812754	0.078443	0.075005
35	8.936578	0.414409	0.259030	0.948500	0.819020	0.069993	0.099459
36	8.957865	0.395081	0.261494	0.946000	0.821250	0.079888	0.098061
37	8.871058	0.422728	0.260038	0.949500	0.828847	0.076977	0.098229
38	8.926085	0.286973	0.259589	0.948500	0.816579	0.081503	0.075843
39	8.895862	0.424368	0.261749	0.946000	0.823376	0.092143	0.111165
40	8.903179	0.425180	0.264548	0.954000	0.821983	0.074528	0.106623
41	8.898248	0.389555	0.261721	0.946000	0.821717	0.085574	0.103973
42	8.853060	0.459885	0.262687	0.945500	0.812930	0.083823	0.118522
43	8.871717	0.397186	0.264141	0.938000	0.810196	0.086415	0.100426
44	8.892471	0.280874	0.266280	0.945000	0.815714	0.087192	0.075627
45	8.896033	0.478303	0.265450	0.952500	0.819813	0.076539	0.116495
46	8.922255	0.335028	0.263466	0.933500	0.808345	0.082937	0.080675
47	8.893326	0.255079	0.263341	0.948500	0.821258	0.087893	0.069768
48	8.891682	0.363248	0.264000	0.937000	0.809648	0.087482	0.094003
49	8.850415	0.298083	0.264905	0.937500	0.805162	0.077061	0.074930
