epoch	nll	pg_loss	d_loss	d_accuracy	real_prob	fake_prob	avg_reward
0	8.908908	0.597798	0.274744	0.951500	0.785413	0.106878	0.114835
1	9.008360	0.453049	0.264835	0.954000	0.795747	0.105212	0.083832
2	8.935788	0.374005	0.258537	0.956500	0.809280	0.091538	0.074502
3	8.949502	0.460937	0.253121	0.960000	0.816985	0.078646	0.092445
4	8.964333	0.368469	0.249915	0.963500	0.825222	0.074299	0.073957
5	8.950302	0.460237	0.247390	0.963500	0.836263	0.078106	0.091954
6	8.976560	0.380643	0.245654	0.950000	0.829007	0.079140	0.078908
7	8.971831	0.269274	0.244717	0.951000	0.831128	0.074010	0.055791
8	8.962738	0.328869	0.245095	0.959500	0.838128	0.066556	0.072283
9	8.937337	0.325425	0.243971	0.951000	0.831559	0.071841	0.069027
10	8.945259	0.378320	0.240087	0.958500	0.846063	0.073776	0.077652
11	8.975121	0.298656	0.243118	0.955500	0.835982	0.069526	0.059586
12	8.939356	0.255191	0.243003	0.958500	0.842910	0.066678	0.055024
13	9.002925	0.371545	0.241649	0.951500	0.838768	0.071128	0.077859
14	8.990196	0.332894	0.242400	0.957500	0.836707	0.063761	0.068938
15	8.990843	0.479271	0.239304	0.960000	0.845271	0.059929	0.105157
16	8.961762	0.364163	0.242995	0.957500	0.844407	0.068290	0.076097
17	8.970892	0.370378	0.243919	0.959000	0.844460	0.063939	0.073605
18	8.956458	0.246635	0.242108	0.959000	0.834037	0.057790	0.053478
19	8.986340	0.249345	0.241818	0.950000	0.828464	0.064645	0.052452
20	8.947712	0.315743	0.242762	0.945500	0.830186	0.069668	0.068407
21	8.948732	0.342522	0.240855	0.953500	0.836080	0.064806	0.071085
22	8.999762	0.266057	0.241072	0.952000	0.833988	0.065429	0.055662
23	9.007403	0.322713	0.240737	0.955000	0.843612	0.066058	0.066324
24	8.999173	0.344721	0.241837	0.963500	0.841817	0.058977	0.070777
25	8.984216	0.292807	0.238652	0.954500	0.836782	0.065334	0.062016
26	8.989437	0.322115	0.239698	0.948500	0.828848	0.066314	0.070979
27	8.992893	0.291135	0.242078	0.964500	0.842377	0.057027	0.063015
28	9.005711	0.254317	0.241500	0.951500	0.831806	0.064100	0.054928
29	8.993473	0.310044	0.240541	0.962500	0.845876	0.058170	0.070908
30	8.987258	0.311199	0.239351	0.954000	0.827737	0.054344	0.069524
31	8.980609	0.265415	0.240124	0.952500	0.836158	0.063410	0.058009
32	9.007297	0.280875	0.239345	0.952000	0.830807	0.057891	0.061915
33	8.993340	0.418550	0.240099	0.956500	0.833127	0.053029	0.090773
34	9.043250	0.244819	0.238661	0.958000	0.842378	0.064094	0.054243
35	8.997526	0.326573	0.241187	0.955500	0.832261	0.059191	0.074929
36	8.986033	0.185136	0.240886	0.960000	0.836683	0.059852	0.042285
37	9.017569	0.312409	0.241359	0.956000	0.837409	0.062400	0.069121
38	9.011432	0.271954	0.239187	0.961500	0.840761	0.055572	0.062066
39	9.014702	0.346055	0.235741	0.955000	0.839398	0.062372	0.077705
40	9.036185	0.371088	0.239053	0.961500	0.841495	0.054516	0.086692
41	9.005411	0.327955	0.240751	0.950000	0.832667	0.064249	0.071927
42	9.051288	0.238608	0.243930	0.951500	0.829218	0.063089	0.054398
43	9.044907	0.244029	0.241004	0.957000	0.841151	0.061575	0.058922
44	9.025380	0.297941	0.240956	0.963000	0.843018	0.054516	0.070002
45	9.066773	0.310325	0.240217	0.954000	0.832306	0.058008	0.072700
46	9.075948	0.325968	0.239519	0.946500	0.827835	0.067714	0.073211
47	9.067922	0.231420	0.240796	0.954500	0.830655	0.051804	0.050492
48	9.058187	0.400783	0.241950	0.948000	0.836176	0.069333	0.086580
49	9.112788	0.245286	0.239923	0.949500	0.829898	0.062654	0.062313
