epoch	position	reward
0	0	0.228074
0	1	0.149821
0	2	0.123233
0	3	0.128804
0	4	0.123896
0	5	0.123133
0	6	0.123348
0	7	0.123389
0	8	0.123359
0	9	0.123298
0	10	0.123353
0	11	0.123458
0	12	0.123479
0	13	0.123432
0	14	0.123417
0	15	0.123321
0	16	0.123333
0	17	0.123352
0	18	0.123290
0	19	0.123290
0	0	0.236571
0	1	0.144180
0	2	0.131649
0	3	0.135713
0	4	0.134296
0	5	0.133284
0	6	0.131613
0	7	0.131544
0	8	0.131225
0	9	0.130949
0	10	0.130964
0	11	0.131264
0	12	0.131231
0	13	0.131340
0	14	0.131283
0	15	0.131186
0	16	0.131210
0	17	0.131284
0	18	0.131243
0	19	0.130937
0	0	0.227266
0	1	0.167230
0	2	0.150040
0	3	0.145558
0	4	0.147181
0	5	0.145777
0	6	0.145452
0	7	0.145331
0	8	0.145113
0	9	0.144758
0	10	0.144878
0	11	0.144839
0	12	0.144729
0	13	0.144828
0	14	0.144721
0	15	0.144630
0	16	0.144759
0	17	0.144732
0	18	0.144802
0	19	0.144710
1	0	0.231980
1	1	0.128454
1	2	0.126875
1	3	0.124183
1	4	0.125220
1	5	0.126307
1	6	0.126167
1	7	0.125983
1	8	0.126011
1	9	0.126114
1	10	0.126182
1	11	0.126191
1	12	0.126226
1	13	0.126188
1	14	0.126161
1	15	0.126091
1	16	0.126158
1	17	0.126057
1	18	0.126099
1	19	0.126168
1	0	0.257847
1	1	0.139590
1	2	0.132932
1	3	0.139393
1	4	0.140063
1	5	0.139599
1	6	0.140691
1	7	0.140419
1	8	0.140131
1	9	0.139948
1	10	0.140085
1	11	0.140106
1	12	0.140146
1	13	0.140257
1	14	0.140185
1	15	0.140169
1	16	0.140340
1	17	0.140374
1	18	0.140344
1	19	0.140437
1	0	0.173325
1	1	0.115100
1	2	0.109857
1	3	0.104712
1	4	0.105182
1	5	0.101203
1	6	0.102356
1	7	0.100782
1	8	0.100790
1	9	0.100618
1	10	0.100437
1	11	0.100443
1	12	0.100437
1	13	0.100416
1	14	0.100461
1	15	0.100442
1	16	0.100367
1	17	0.100402
1	18	0.100336
1	19	0.100389
2	0	0.223798
2	1	0.154836
2	2	0.142776
2	3	0.145537
2	4	0.142622
2	5	0.142095
2	6	0.142087
2	7	0.142596
2	8	0.142475
2	9	0.142830
2	10	0.142559
2	11	0.142580
2	12	0.142751
2	13	0.142820
2	14	0.142790
2	15	0.142747
2	16	0.142645
2	17	0.142731
2	18	0.142562
2	19	0.142547
2	0	0.172372
2	1	0.102680
2	2	0.097170
2	3	0.088649
2	4	0.092044
2	5	0.095100
2	6	0.094175
2	7	0.094992
2	8	0.094947
2	9	0.095131
2	10	0.094954
2	11	0.094905
2	12	0.094960
2	13	0.094948
2	14	0.094905
2	15	0.094902
