epoch	position	reward
0	0	0.311534
0	1	0.100513
0	2	0.097274
0	3	0.100310
0	4	0.100516
0	5	0.100013
0	6	0.100458
0	7	0.100601
0	8	0.100290
0	9	0.100573
0	10	0.101227
0	11	0.100805
0	12	0.100929
0	13	0.100835
0	14	0.100577
0	15	0.100378
0	16	0.100268
0	17	0.100772
0	18	0.100423
0	19	0.101042
0	0	0.316519
0	1	0.121824
0	2	0.109398
0	3	0.107637
0	4	0.107343
0	5	0.107522
0	6	0.107718
0	7	0.106757
0	8	0.107516
0	9	0.106976
0	10	0.107195
0	11	0.106868
0	12	0.107119
0	13	0.107284
0	14	0.107152
0	15	0.106118
0	16	0.106671
0	17	0.105590
0	18	0.106188
0	19	0.105971
0	0	0.320335
0	1	0.129906
0	2	0.117635
0	3	0.118006
0	4	0.117237
0	5	0.117871
0	6	0.118157
0	7	0.117356
0	8	0.117484
0	9	0.116910
0	10	0.117691
0	11	0.117219
0	12	0.116955
0	13	0.116642
0	14	0.117302
0	15	0.117356
0	16	0.116680
0	17	0.116445
0	18	0.116533
0	19	0.115699
1	0	0.288912
1	1	0.091635
1	2	0.080565
1	3	0.082508
1	4	0.080935
1	5	0.081059
1	6	0.080370
1	7	0.080693
1	8	0.081410
1	9	0.081478
1	10	0.081602
1	11	0.081779
1	12	0.081559
1	13	0.081090
1	14	0.081237
1	15	0.081454
1	16	0.081124
1	17	0.080704
1	18	0.080776
1	19	0.081000
1	0	0.291135
1	1	0.084081
1	2	0.077276
1	3	0.077435
1	4	0.079327
1	5	0.078832
1	6	0.079151
1	7	0.077855
1	8	0.077214
1	9	0.077153
1	10	0.077360
1	11	0.077063
1	12	0.077229
1	13	0.077533
1	14	0.077488
1	15	0.077487
1	16	0.077490
1	17	0.077321
1	18	0.077139
1	19	0.077077
1	0	0.323596
1	1	0.122824
1	2	0.115412
1	3	0.115164
1	4	0.114124
1	5	0.114349
1	6	0.114593
1	7	0.114622
1	8	0.114009
1	9	0.113999
1	10	0.113631
1	11	0.113916
1	12	0.114051
1	13	0.114116
1	14	0.113989
1	15	0.113406
1	16	0.113349
1	17	0.113968
1	18	0.113703
1	19	0.113101
2	0	0.273802
2	1	0.061801
2	2	0.052996
2	3	0.050830
2	4	0.051505
2	5	0.051541
2	6	0.051726
2	7	0.051521
2	8	0.051481
2	9	0.051718
2	10	0.051637
2	11	0.051615
2	12	0.051444
2	13	0.051644
2	14	0.051987
2	15	0.051700
2	16	0.051359
2	17	0.051782
2	18	0.051971
2	19	0.052008
2	0	0.308548
2	1	0.082450
2	2	0.076714
2	3	0.075483
2	4	0.074923
