epoch	nll	pg_loss	d_loss	d_accuracy	real_prob	fake_prob	avg_reward
0	8.665844	0.417800	0.233090	0.963500	0.826474	0.072918	0.072355
1	8.669163	0.488811	0.231659	0.963500	0.834806	0.068308	0.085761
2	8.633350	0.445387	0.229723	0.965000	0.840985	0.065238	0.078625
3	8.616782	0.433124	0.226115	0.975500	0.846819	0.062904	0.078485
4	8.595354	0.348936	0.224657	0.971500	0.850955	0.057827	0.068193
5	8.558235	0.235936	0.225699	0.960000	0.842717	0.059127	0.047701
6	8.585224	0.450845	0.223457	0.968500	0.844339	0.051603	0.083901
7	8.561689	0.241967	0.222369	0.970000	0.849028	0.048371	0.046580
8	8.565926	0.450407	0.220609	0.972500	0.848238	0.047408	0.085299
9	8.568040	0.265794	0.221503	0.971500	0.856231	0.046186	0.054152
10	8.485642	0.320759	0.221050	0.970500	0.850311	0.047167	0.058883
11	8.506602	0.153591	0.221922	0.972500	0.854600	0.046551	0.031804
12	8.494591	0.354426	0.219900	0.968000	0.853076	0.051148	0.069597
13	8.512686	0.239479	0.219073	0.966000	0.849515	0.050197	0.046828
14	8.465351	0.214133	0.217092	0.970500	0.851659	0.040795	0.049276
15	8.467278	0.307439	0.217486	0.971000	0.858492	0.049341	0.063323
16	8.430075	0.245553	0.217628	0.973000	0.856136	0.041900	0.051146
17	8.463503	0.211798	0.217722	0.962500	0.851382	0.045187	0.043472
18	8.437017	0.133585	0.217085	0.970500	0.855856	0.040870	0.032022
19	8.451452	0.280606	0.216340	0.969500	0.857087	0.048744	0.056129
20	8.419889	0.289018	0.215359	0.963500	0.853153	0.042636	0.057858
21	8.443831	0.196939	0.215510	0.965000	0.850986	0.041786	0.044723
22	8.413110	0.244323	0.213400	0.969500	0.858132	0.045465	0.050322
23	8.395950	0.186453	0.215321	0.971500	0.859086	0.040694	0.040711
24	8.375747	0.286356	0.213265	0.973000	0.863612	0.040962	0.063591
25	8.362637	0.282900	0.214409	0.973500	0.860782	0.036192	0.063714
26	8.329474	0.252788	0.213353	0.972500	0.860610	0.043447	0.052761
27	8.319681	0.238411	0.211839	0.966500	0.853746	0.039018	0.049202
28	8.341879	0.255289	0.211500	0.978000	0.864546	0.039170	0.053169
29	8.321856	0.205088	0.210224	0.972500	0.858029	0.032981	0.046784
30	8.257070	0.169545	0.210410	0.970000	0.856705	0.039821	0.038119
31	8.313481	0.189332	0.210860	0.967500	0.856486	0.036712	0.041300
32	8.293704	0.259830	0.210220	0.971000	0.861391	0.043543	0.059529
33	8.270607	0.244768	0.209096	0.974500	0.863440	0.032856	0.055191
34	8.289031	0.175553	0.209949	0.970500	0.860559	0.037666	0.039962
35	8.293965	0.197540	0.208384	0.980000	0.867809	0.028952	0.043229
36	8.237205	0.148404	0.208614	0.976000	0.864999	0.039780	0.035655
37	8.267934	0.145109	0.208533	0.979000	0.862330	0.032105	0.034622
38	8.282070	0.192517	0.208045	0.976500	0.862238	0.029306	0.044825
39	8.227929	0.131738	0.207216	0.978500	0.865153	0.035189	0.031529
40	8.231961	0.153296	0.206268	0.976500	0.860966	0.030005	0.033459
41	8.225204	0.201809	0.207398	0.981500	0.867573	0.031015	0.052773
42	8.221716	0.200255	0.205058	0.984000	0.873735	0.032217	0.041625
43	8.189701	0.206423	0.205822	0.977500	0.865765	0.034249	0.048270
44	8.187785	0.164612	0.206808	0.976500	0.864115	0.030993	0.036999
45	8.192973	0.165949	0.205159	0.976000	0.861872	0.030469	0.039439
46	8.251701	0.183016	0.204544	0.974500	0.869576	0.037654	0.043588
47	8.185780	0.215298	0.204114	0.980500	0.869426	0.034302	0.049045
48	8.179509	0.239391	0.204894	0.977000	0.862728	0.029915	0.058390
49	8.171144	0.151138	0.205938	0.975500	0.864933	0.030885	0.038603
