epoch	nll	pg_loss	d_loss	d_accuracy	real_prob	fake_prob	avg_reward
0	8.827229	0.325311	0.231250	0.966000	0.841405	0.073552	0.080218
1	8.782722	0.516388	0.223470	0.968000	0.854102	0.064315	0.112043
2	8.775853	0.406746	0.222415	0.971000	0.858775	0.053418	0.095871
3	8.736753	0.361805	0.217845	0.970000	0.862544	0.058295	0.084138
4	8.764468	0.240546	0.215094	0.969000	0.857318	0.046307	0.065797
5	8.762841	0.247057	0.213404	0.970500	0.862386	0.048545	0.064793
6	8.691134	0.343129	0.210609	0.972000	0.867344	0.045902	0.083766
7	8.720819	0.374887	0.210133	0.970500	0.861339	0.040468	0.088030
8	8.754622	0.239764	0.210960	0.976500	0.868614	0.037554	0.063179
9	8.743749	0.193343	0.208494	0.972500	0.858964	0.040934	0.052602
10	8.732041	0.230066	0.208812	0.975000	0.863827	0.035274	0.065223
11	8.693952	0.214011	0.206679	0.980000	0.870787	0.034697	0.059336
12	8.751458	0.202080	0.206174	0.970500	0.865760	0.041365	0.059328
13	8.712371	0.257238	0.205279	0.977000	0.865967	0.033935	0.067926
14	8.716617	0.193759	0.205799	0.979500	0.865849	0.031964	0.053750
15	8.685795	0.161362	0.204354	0.969500	0.859655	0.035941	0.050049
16	8.728017	0.178629	0.204105	0.978500	0.865803	0.030334	0.050974
17	8.684733	0.187690	0.201508	0.979000	0.865315	0.032995	0.054651
18	8.705678	0.296680	0.201030	0.977000	0.869059	0.034001	0.079665
19	8.713984	0.100804	0.201077	0.973000	0.869398	0.035522	0.040027
20	8.707267	0.194723	0.201007	0.975000	0.861988	0.026598	0.059003
21	8.642802	0.165614	0.200441	0.979000	0.863622	0.025307	0.055002
22	8.708521	0.132205	0.199804	0.974500	0.868371	0.030109	0.042619
23	8.644624	0.160305	0.199367	0.984000	0.871359	0.027521	0.048382
24	8.676090	0.117645	0.198196	0.982000	0.873156	0.029992	0.040127
25	8.649003	0.161983	0.196996	0.984500	0.873671	0.023409	0.051199
26	8.643278	0.159882	0.196986	0.977000	0.867247	0.028278	0.051203
27	8.607688	0.190383	0.195520	0.981500	0.871513	0.028264	0.056378
28	8.644161	0.104734	0.196310	0.980000	0.865812	0.023666	0.042318
29	8.627188	0.248114	0.197626	0.979000	0.869354	0.022276	0.068188
30	8.649044	0.153511	0.195051	0.983500	0.873833	0.022473	0.052790
31	8.642491	0.207620	0.195550	0.978000	0.872600	0.026922	0.061947
32	8.631162	0.185676	0.194931	0.981500	0.872945	0.022925	0.058864
33	8.655633	0.123095	0.195041	0.983500	0.874099	0.023718	0.046109
34	8.624181	0.085175	0.193911	0.983500	0.874813	0.023680	0.037621
35	8.612017	0.072192	0.193439	0.981500	0.877888	0.027053	0.034791
36	8.587538	0.175997	0.193220	0.982000	0.875073	0.025410	0.051407
37	8.593553	0.129668	0.193020	0.981500	0.874940	0.024649	0.046146
38	8.587228	0.082513	0.192309	0.979500	0.870947	0.024399	0.040958
39	8.595386	0.155668	0.190931	0.984500	0.874513	0.020529	0.055423
40	8.604886	0.121089	0.191601	0.981000	0.875252	0.027414	0.045608
41	8.623816	0.083152	0.191813	0.978000	0.877300	0.029162	0.041371
42	8.603469	0.183694	0.190641	0.980000	0.872476	0.023142	0.056481
43	8.578444	0.132803	0.191141	0.978500	0.875029	0.029295	0.046921
44	8.577061	0.157274	0.190157	0.981500	0.878111	0.024009	0.053233
45	8.564997	0.089215	0.191858	0.984000	0.876201	0.025662	0.036134
46	8.566092	0.081536	0.192125	0.983000	0.866373	0.014857	0.036762
47	8.545593	0.060178	0.190146	0.983500	0.873975	0.024216	0.030714
48	8.570635	0.127353	0.190876	0.985500	0.876229	0.019781	0.049168
49	8.529011	0.116518	0.188642	0.982500	0.878483	0.020195	0.042036
