epoch	position	reward
0	0	0.420433
0	1	0.095940
0	2	0.056426
0	3	0.051305
0	4	0.050294
0	5	0.054507
0	6	0.052607
0	7	0.053362
0	8	0.052955
0	9	0.052929
0	10	0.053084
0	11	0.053223
0	12	0.053414
0	13	0.053375
0	14	0.053488
0	15	0.053410
0	16	0.053486
0	17	0.053454
0	18	0.053510
0	19	0.053528
0	0	0.430266
0	1	0.081847
0	2	0.052016
0	3	0.045942
0	4	0.044892
0	5	0.042772
0	6	0.042286
0	7	0.042132
0	8	0.041839
0	9	0.041710
0	10	0.041827
0	11	0.041773
0	12	0.041920
0	13	0.041908
0	14	0.041746
0	15	0.041946
0	16	0.042074
0	17	0.041961
0	18	0.041951
0	19	0.041861
0	0	0.459016
0	1	0.126921
0	2	0.085915
0	3	0.081750
0	4	0.081718
0	5	0.082312
0	6	0.081387
0	7	0.081262
0	8	0.081362
0	9	0.080849
0	10	0.081220
0	11	0.081036
0	12	0.081050
0	13	0.081162
0	14	0.081174
0	15	0.081096
0	16	0.081100
0	17	0.081049
0	18	0.081050
0	19	0.081259
1	0	0.438227
1	1	0.135323
1	2	0.087725
1	3	0.078942
1	4	0.080303
1	5	0.078188
1	6	0.078823
1	7	0.078589
1	8	0.077936
1	9	0.077974
1	10	0.077894
1	11	0.077818
1	12	0.077878
1	13	0.077832
1	14	0.077736
1	15	0.077660
1	16	0.077648
1	17	0.077807
1	18	0.077847
1	19	0.077914
1	0	0.455482
1	1	0.151435
1	2	0.115985
1	3	0.111607
1	4	0.110769
1	5	0.107410
1	6	0.107792
1	7	0.106875
1	8	0.107125
1	9	0.106891
1	10	0.107118
1	11	0.107193
1	12	0.107189
1	13	0.107121
1	14	0.107304
1	15	0.107245
1	16	0.107121
1	17	0.107000
1	18	0.107127
1	19	0.107218
1	0	0.461569
1	1	0.138488
1	2	0.100200
1	3	0.090037
1	4	0.089154
1	5	0.088039
1	6	0.086469
1	7	0.086541
1	8	0.086232
1	9	0.086237
1	10	0.086620
1	11	0.086445
1	12	0.086585
1	13	0.086599
1	14	0.086548
1	15	0.086688
1	16	0.086826
1	17	0.086694
1	18	0.086728
1	19	0.086797
2	0	0.404084
2	1	0.087925
2	2	0.060595
2	3	0.053614
2	4	0.047626
2	5	0.050073
2	6	0.051498
2	7	0.051636
2	8	0.051317
2	9	0.051211
2	10	0.050944
2	11	0.051152
2	12	0.051010
2	13	0.050997
2	14	0.051252
2	15	0.051032
2	16	0.051163
2	17	0.051162
2	18	0.051189
2	19	0.051157
2	0	0.410022
2	1	0.104246
2	2	0.082549
2	3	0.078618
2	4	0.079478
2	5	0.076224
2	6	0.077100
2	7	0.076742
2	8	0.076262
2	9	0.076241
2	10	0.076672
2	11	0.076487
2	12	0.076441
2	13	0.076438
2	14	0.076529
2	15	0.076520
2	16	0.076512
2	17	0.076689
2	18	0.076516
2	19	0.076558
2	0	0.446290
2	1	0.124903
2	2	0.109657
2	3	0.110411
2	4	0.106675
2	5	0.100863
2	6	0.102061
2	7	0.101948
2	8	0.101853
2	9	0.101920
2	10	0.101997
2	11	0.102223
2	12	0.102010
2	13	0.102177
2	14	0.102158
2	15	0.102076
2	16	0.102324
2	17	0.102427
2	18	0.102287
2	19	0.102528
3	0	0.395630
3	1	0.079525
3	2	0.054613
3	3	0.049455
3	4	0.050127
3	5	0.048860
3	6	0.050285
3	7	0.050169
3	8	0.050135
3	9	0.050091
3	10	0.050217
3	11	0.050272
3	12	0.050101
3	13	0.050188
3	14	0.050117
3	15	0.050175
3	16	0.050056
3	17	0.050284
3	18	0.050282
3	19	0.050122
3	0	0.395220
3	1	0.109812
3	2	0.081074
3	3	0.077930
3	4	0.077383
3	5	0.076927
3	6	0.077341
3	7	0.077525
3	8	0.077492
3	9	0.077615
3	10	0.077446
3	11	0.077425
3	12	0.077455
3	13	0.077385
3	14	0.077402
3	15	0.077431
3	16	0.077531
3	17	0.077519
3	18	0.077593
3	19	0.077613
3	0	0.380398
3	1	0.102936
3	2	0.073494
3	3	0.069978
3	4	0.072628
3	5	0.069790
3	6	0.070649
3	7	0.070998
3	8	0.071173
3	9	0.071187
