epoch	nll	pg_loss	d_loss	d_accuracy	real_prob	fake_prob	avg_reward
0	8.725607	0.282214	0.248187	0.966500	0.780147	0.059056	0.066539
1	8.691917	0.319438	0.234060	0.969500	0.803814	0.059305	0.072651
2	8.709510	0.293224	0.229364	0.972000	0.813826	0.052988	0.071553
3	8.723681	0.286185	0.225247	0.965500	0.828230	0.056204	0.064443
4	8.735542	0.351337	0.223223	0.972000	0.835302	0.050762	0.080090
5	8.713091	0.304854	0.218557	0.964500	0.844805	0.057532	0.072164
6	8.684096	0.121582	0.216927	0.972500	0.847383	0.042633	0.034716
7	8.653952	0.237097	0.216873	0.971000	0.857521	0.049221	0.056990
8	8.664947	0.271201	0.214867	0.966500	0.847779	0.050225	0.063233
9	8.679611	0.335641	0.214751	0.972000	0.854588	0.037518	0.078306
10	8.685442	0.185104	0.213866	0.972000	0.857239	0.045631	0.050104
11	8.698318	0.307806	0.211729	0.974500	0.864539	0.045210	0.071167
12	8.656620	0.251542	0.212635	0.976500	0.866159	0.040810	0.063205
13	8.648504	0.218892	0.212400	0.974000	0.861689	0.040262	0.051562
14	8.646545	0.139703	0.210492	0.972500	0.864610	0.042284	0.038591
15	8.716344	0.209842	0.212205	0.976500	0.858767	0.033548	0.053624
16	8.682034	0.193485	0.209392	0.980500	0.864312	0.036930	0.046936
17	8.656324	0.208786	0.208513	0.978500	0.864128	0.036979	0.056472
18	8.672536	0.235605	0.207039	0.981500	0.863894	0.031006	0.058886
19	8.649620	0.165868	0.207521	0.973500	0.854499	0.031355	0.043311
20	8.625536	0.233581	0.207616	0.973500	0.862633	0.034226	0.061262
21	8.663493	0.148077	0.207927	0.982000	0.868515	0.034364	0.039436
22	8.639344	0.218730	0.207963	0.978000	0.862476	0.032915	0.055821
23	8.657927	0.089459	0.206522	0.973500	0.862714	0.038797	0.029257
24	8.694510	0.135744	0.209115	0.973500	0.858761	0.031084	0.038710
25	8.652309	0.212726	0.207428	0.976500	0.864550	0.035209	0.053174
26	8.672623	0.233302	0.205749	0.981500	0.863313	0.029319	0.052151
27	8.693905	0.157223	0.207379	0.978500	0.863233	0.031740	0.045043
28	8.681750	0.246523	0.206857	0.974000	0.857893	0.032178	0.059931
29	8.670293	0.178901	0.205523	0.973000	0.861746	0.034882	0.045613
30	8.720509	0.205166	0.206336	0.979500	0.869830	0.030835	0.049909
31	8.726906	0.127718	0.205394	0.975000	0.863084	0.034995	0.035574
32	8.722612	0.123129	0.207371	0.978000	0.865980	0.034357	0.033371
33	8.727581	0.161973	0.207772	0.976500	0.859800	0.031243	0.043966
34	8.746843	0.219688	0.206717	0.978000	0.868607	0.037879	0.053984
35	8.738995	0.220317	0.206161	0.976000	0.859551	0.029534	0.054757
36	8.745890	0.084907	0.206111	0.976000	0.865090	0.033155	0.027047
37	8.745300	0.132497	0.206641	0.978000	0.864334	0.029521	0.035251
38	8.775718	0.211293	0.207290	0.969000	0.854995	0.032798	0.052688
39	8.766667	0.158154	0.206108	0.974500	0.858623	0.034973	0.041774
40	8.787249	0.140484	0.204272	0.979500	0.869650	0.029659	0.037205
41	8.750684	0.124631	0.205799	0.979500	0.864344	0.028537	0.037833
42	8.754076	0.140296	0.206176	0.980000	0.865351	0.028158	0.037919
43	8.793868	0.131227	0.205656	0.977500	0.868658	0.035629	0.036466
44	8.753676	0.119692	0.203986	0.973500	0.862933	0.033048	0.034719
45	8.782009	0.132724	0.205229	0.974500	0.860631	0.030199	0.038237
46	8.733108	0.176431	0.204979	0.976500	0.863373	0.030419	0.044824
47	8.799730	0.085225	0.205394	0.976500	0.864429	0.029828	0.027177
48	8.733191	0.107957	0.204781	0.975500	0.861003	0.028715	0.030058
49	8.752457	0.110033	0.204646	0.977000	0.867388	0.027564	0.033694
