epoch	nll	pg_loss	d_loss	d_accuracy	real_prob	fake_prob	avg_reward
0	8.840298	0.506058	0.251123	0.968000	0.805606	0.089293	0.093599
1	8.802673	0.469707	0.250820	0.975000	0.828029	0.093197	0.094024
2	8.834280	0.649468	0.249404	0.979000	0.830358	0.093272	0.119601
3	8.747020	0.535013	0.249773	0.968500	0.828411	0.093998	0.102432
4	8.806131	0.473201	0.249320	0.973000	0.834160	0.093245	0.093347
5	8.759851	0.401851	0.244028	0.971500	0.835913	0.084262	0.077954
6	8.754811	0.538804	0.243876	0.968000	0.832943	0.084897	0.113164
7	8.759830	0.538445	0.243821	0.968500	0.841446	0.081648	0.107988
8	8.746055	0.504824	0.245820	0.975500	0.845697	0.085604	0.101527
9	8.742970	0.466562	0.241408	0.966500	0.840807	0.085291	0.098539
10	8.740483	0.460358	0.242748	0.966500	0.835034	0.083945	0.098481
11	8.746921	0.407081	0.245811	0.971000	0.841360	0.079710	0.093611
12	8.746369	0.402702	0.244039	0.963500	0.841456	0.092725	0.092785
13	8.731627	0.419804	0.242987	0.966500	0.844760	0.090641	0.097280
14	8.734476	0.417549	0.242365	0.971000	0.847530	0.081251	0.097607
15	8.724895	0.410185	0.243023	0.967000	0.838919	0.076755	0.100155
16	8.717137	0.425129	0.244829	0.962500	0.841992	0.084688	0.101728
17	8.695964	0.289866	0.241260	0.967000	0.844453	0.089583	0.071224
18	8.698499	0.316186	0.242920	0.967500	0.847263	0.081728	0.080432
19	8.730270	0.337801	0.243825	0.960000	0.842505	0.089297	0.087281
20	8.664169	0.273344	0.240805	0.973500	0.853179	0.085859	0.073927
21	8.686876	0.357583	0.241474	0.969500	0.849589	0.079756	0.092518
22	8.719046	0.288597	0.240707	0.972000	0.847751	0.079312	0.081699
23	8.737204	0.306318	0.242131	0.966500	0.847497	0.077288	0.080800
24	8.677926	0.328035	0.236980	0.963500	0.842281	0.077762	0.088611
25	8.728333	0.299076	0.238530	0.965500	0.845184	0.075505	0.077959
26	8.691733	0.235806	0.236166	0.968500	0.849917	0.071433	0.068703
27	8.691355	0.357644	0.236536	0.966000	0.847097	0.076551	0.091399
28	8.688053	0.296407	0.235768	0.968000	0.846621	0.066219	0.078131
29	8.695319	0.343014	0.234828	0.967000	0.848486	0.068429	0.092852
30	8.606345	0.307223	0.231217	0.958500	0.849173	0.074654	0.081897
31	8.656711	0.210760	0.233920	0.973500	0.846853	0.058375	0.061603
32	8.642262	0.245037	0.231301	0.966500	0.848805	0.064168	0.070097
33	8.588847	0.237045	0.229179	0.971500	0.858878	0.061853	0.066753
34	8.582518	0.201623	0.229815	0.974000	0.853133	0.051921	0.057779
35	8.568484	0.186437	0.228435	0.971500	0.855778	0.059338	0.055964
36	8.560315	0.192166	0.225418	0.968500	0.848342	0.055609	0.058630
37	8.596739	0.147871	0.225372	0.967500	0.850486	0.051765	0.048646
38	8.602199	0.198035	0.223728	0.964500	0.848879	0.055499	0.059169
39	8.639609	0.207262	0.224325	0.967000	0.849221	0.051115	0.060901
40	8.588717	0.155108	0.221146	0.966000	0.855109	0.053661	0.050020
41	8.550999	0.226709	0.221173	0.969000	0.852597	0.045760	0.066446
42	8.579914	0.141006	0.223242	0.971500	0.851366	0.044577	0.044290
43	8.549404	0.175237	0.219185	0.973500	0.858814	0.045955	0.055955
44	8.522078	0.211532	0.218625	0.968500	0.853743	0.048029	0.059922
45	8.554371	0.157062	0.219238	0.967000	0.856908	0.051613	0.045218
46	8.468048	0.218276	0.218115	0.971000	0.851674	0.037746	0.057137
47	8.523494	0.124575	0.218064	0.968500	0.857366	0.043836	0.039683
48	8.497799	0.154434	0.217478	0.981500	0.865582	0.037818	0.048472
49	8.506499	0.107622	0.215678	0.968000	0.855374	0.044409	0.036431
