epoch	position	reward
0	0	0.129066
0	1	0.050858
0	2	0.043089
0	3	0.042191
0	4	0.037964
0	5	0.040934
0	6	0.040060
0	7	0.040249
0	8	0.040294
0	9	0.040325
0	10	0.040253
0	11	0.040331
0	12	0.040329
0	13	0.040344
0	14	0.040212
0	15	0.040268
0	16	0.040099
0	17	0.040078
0	18	0.040208
0	19	0.040056
0	0	0.182571
0	1	0.083958
0	2	0.065909
0	3	0.065844
0	4	0.063850
0	5	0.061692
0	6	0.061654
0	7	0.062703
0	8	0.061413
0	9	0.060993
0	10	0.061049
0	11	0.061235
0	12	0.061330
0	13	0.061270
0	14	0.061234
0	15	0.061164
0	16	0.061424
0	17	0.061245
0	18	0.061707
0	19	0.061872
0	0	0.182376
0	1	0.090700
0	2	0.079365
0	3	0.073480
0	4	0.074030
0	5	0.073091
0	6	0.072622
0	7	0.073178
0	8	0.073121
0	9	0.072897
0	10	0.072907
0	11	0.073013
0	12	0.073017
0	13	0.072766
0	14	0.072917
0	15	0.072705
0	16	0.072692
0	17	0.072626
0	18	0.072764
0	19	0.072543
1	0	0.135674
1	1	0.043007
1	2	0.046824
1	3	0.041074
1	4	0.040751
1	5	0.042261
1	6	0.042091
1	7	0.042516
1	8	0.042820
1	9	0.042903
1	10	0.043820
1	11	0.044760
1	12	0.044176
1	13	0.043908
1	14	0.043815
1	15	0.044028
1	16	0.043962
1	17	0.043895
1	18	0.043858
1	19	0.043857
1	0	0.164777
1	1	0.086621
1	2	0.077672
1	3	0.076818
1	4	0.072179
1	5	0.071226
1	6	0.071751
1	7	0.071688
1	8	0.071827
1	9	0.072076
1	10	0.072196
1	11	0.072246
1	12	0.072123
1	13	0.072147
1	14	0.072105
1	15	0.072072
1	16	0.071996
1	17	0.072025
1	18	0.071966
1	19	0.072054
1	0	0.154436
1	1	0.077576
1	2	0.062221
1	3	0.061463
1	4	0.064488
1	5	0.064008
1	6	0.063964
1	7	0.064850
1	8	0.065553
1	9	0.065264
1	10	0.064891
1	11	0.065581
1	12	0.065178
1	13	0.065480
1	14	0.065402
1	15	0.065182
1	16	0.065520
1	17	0.065483
1	18	0.065114
1	19	0.065049
2	0	0.159628
2	1	0.071942
2	2	0.068277
2	3	0.068156
2	4	0.065944
2	5	0.066429
2	6	0.065763
2	7	0.065122
2	8	0.065131
2	9	0.065305
2	10	0.065257
2	11	0.065186
2	12	0.065124
2	13	0.065356
2	14	0.065293
2	15	0.065327
2	16	0.065159
2	17	0.065154
2	18	0.065318
2	19	0.065072
