epoch	nll	pg_loss	d_loss	d_accuracy	real_prob	fake_prob	avg_reward
0	8.921495	0.334080	0.244609	0.968000	0.790510	0.061263	0.064736
1	8.895530	0.349637	0.238637	0.972000	0.816250	0.059578	0.065238
2	8.853316	0.380386	0.236368	0.968000	0.826465	0.063375	0.065620
3	8.881762	0.358403	0.233293	0.962000	0.829336	0.071188	0.068759
4	8.865644	0.258728	0.232916	0.960000	0.833300	0.065109	0.046108
5	8.829290	0.371535	0.229806	0.967000	0.837424	0.056061	0.069343
6	8.854780	0.400272	0.231046	0.966000	0.842935	0.057173	0.080739
7	8.840035	0.278316	0.230553	0.969000	0.843409	0.053232	0.054748
8	8.824007	0.511518	0.230850	0.963500	0.847266	0.067289	0.097321
9	8.822581	0.338100	0.229409	0.965000	0.854351	0.058213	0.066239
10	8.887242	0.326528	0.229742	0.962000	0.848532	0.057987	0.060416
11	8.835409	0.369273	0.228062	0.968500	0.852605	0.054899	0.073883
12	8.794246	0.439863	0.228489	0.956000	0.852348	0.066105	0.088926
13	8.780854	0.174980	0.229476	0.963500	0.850891	0.055492	0.039353
14	8.754618	0.351466	0.230270	0.965500	0.854960	0.061791	0.072830
15	8.810828	0.357252	0.231576	0.966000	0.850531	0.056478	0.071914
16	8.797474	0.373715	0.233425	0.959000	0.848313	0.059241	0.076620
17	8.825925	0.402155	0.232925	0.957000	0.847500	0.062310	0.080239
18	8.827853	0.432589	0.230622	0.964000	0.847330	0.055426	0.089251
19	8.821037	0.284893	0.231097	0.961000	0.847507	0.059770	0.058597
20	8.793809	0.256083	0.231355	0.965500	0.853405	0.056983	0.054874
21	8.769223	0.333688	0.231323	0.957500	0.850268	0.063341	0.066375
22	8.830482	0.312581	0.231922	0.967000	0.850757	0.051826	0.066058
23	8.797078	0.249674	0.231288	0.968000	0.852129	0.055042	0.054701
24	8.798382	0.384896	0.232594	0.957000	0.845480	0.063440	0.074974
25	8.755679	0.252876	0.232215	0.957500	0.847039	0.059587	0.047949
26	8.751157	0.229843	0.233801	0.958500	0.845395	0.059799	0.048131
27	8.770198	0.292743	0.233904	0.957500	0.837396	0.060783	0.063603
28	8.811243	0.391066	0.235334	0.960000	0.850667	0.067624	0.078596
29	8.772073	0.251468	0.232718	0.957000	0.847239	0.062499	0.054638
30	8.794306	0.211130	0.230958	0.962500	0.849560	0.054203	0.048880
31	8.747221	0.271351	0.234717	0.964000	0.856024	0.063885	0.058997
32	8.725521	0.336355	0.233646	0.951000	0.844090	0.064821	0.073375
33	8.714675	0.250048	0.235181	0.955000	0.845060	0.060223	0.056238
34	8.717948	0.287866	0.233177	0.963000	0.851414	0.055568	0.061377
35	8.756013	0.247310	0.234558	0.958000	0.849334	0.064537	0.056782
36	8.726912	0.193548	0.235335	0.960500	0.844504	0.055531	0.044703
37	8.732356	0.303462	0.234779	0.966000	0.846342	0.056711	0.064493
38	8.739150	0.382789	0.234412	0.954000	0.846337	0.070711	0.080543
39	8.720079	0.338054	0.234748	0.958000	0.842357	0.062263	0.069777
40	8.702078	0.346168	0.233536	0.957500	0.842865	0.058524	0.073984
41	8.751928	0.387328	0.232505	0.957500	0.844210	0.058517	0.087398
42	8.701686	0.327307	0.235768	0.958000	0.843789	0.059291	0.074040
43	8.725209	0.323780	0.234453	0.957500	0.844459	0.065647	0.071697
44	8.746387	0.376755	0.236514	0.963500	0.841449	0.052327	0.084018
45	8.680144	0.199679	0.235188	0.956500	0.842829	0.059105	0.041594
46	8.707974	0.414482	0.234816	0.956000	0.848986	0.062273	0.089966
47	8.705698	0.190435	0.240533	0.960500	0.843550	0.057001	0.046416
48	8.719179	0.253292	0.237691	0.959500	0.844367	0.061621	0.055198
49	8.725089	0.254434	0.237123	0.956500	0.840365	0.064745	0.058166
