epoch	nll	pg_loss	d_loss	d_accuracy	real_prob	fake_prob	avg_reward
0	8.974647	0.529683	0.265579	0.947000	0.732636	0.072544	0.105302
1	8.937675	0.375806	0.264269	0.953500	0.743787	0.064708	0.083922
2	8.946510	0.409967	0.260481	0.954000	0.754797	0.064623	0.092827
3	8.998705	0.413333	0.255836	0.950000	0.759179	0.072950	0.089140
4	8.985544	0.287946	0.255566	0.948500	0.762043	0.064621	0.072799
5	8.969639	0.450376	0.250931	0.955500	0.783082	0.078154	0.096950
6	8.970323	0.531755	0.250518	0.959500	0.784660	0.062721	0.115787
7	8.970475	0.484937	0.251659	0.958000	0.786893	0.061586	0.105333
8	8.967627	0.556873	0.251075	0.957000	0.794078	0.066247	0.120267
9	8.963067	0.467619	0.247990	0.962500	0.801277	0.061869	0.099202
10	8.976912	0.457244	0.248060	0.951500	0.805207	0.067517	0.099855
11	9.021486	0.416109	0.247246	0.964000	0.807741	0.059854	0.100836
12	8.961063	0.334090	0.250085	0.953000	0.809527	0.066901	0.088096
13	8.984620	0.393173	0.249313	0.952500	0.814897	0.075439	0.096429
14	8.946303	0.390260	0.247105	0.957500	0.812723	0.060600	0.098782
15	8.979600	0.338811	0.246889	0.961500	0.817832	0.059312	0.092001
16	8.978524	0.367445	0.243942	0.963000	0.827673	0.063666	0.091595
17	8.933198	0.405429	0.244910	0.959500	0.821443	0.059750	0.100646
18	8.909986	0.433865	0.246579	0.955000	0.823704	0.073475	0.102713
19	8.937559	0.468849	0.246700	0.961000	0.820113	0.055785	0.108499
20	8.961672	0.292920	0.246969	0.953500	0.823298	0.070823	0.084472
21	8.986102	0.420492	0.248091	0.953000	0.818449	0.065264	0.100291
22	8.938735	0.400471	0.250095	0.957500	0.824004	0.058066	0.104870
23	8.948612	0.328778	0.249157	0.955500	0.825795	0.073560	0.087170
24	8.935549	0.298460	0.250630	0.948000	0.825728	0.080633	0.084288
25	8.968925	0.304520	0.251173	0.958000	0.823485	0.063279	0.088779
26	8.929095	0.252461	0.252979	0.954500	0.824644	0.067927	0.070946
27	8.925827	0.400718	0.255806	0.943500	0.813486	0.084990	0.108083
28	8.946836	0.252418	0.254452	0.958500	0.820956	0.060445	0.078967
29	8.896050	0.290637	0.256420	0.950000	0.822699	0.075431	0.083826
30	8.911170	0.506495	0.255645	0.950500	0.822366	0.075736	0.119886
31	8.911017	0.295849	0.258839	0.950000	0.820367	0.077671	0.091249
32	8.894399	0.374737	0.257255	0.955500	0.824186	0.074390	0.104838
33	8.832056	0.342490	0.257848	0.954000	0.822858	0.076329	0.093642
34	8.870016	0.332660	0.257877	0.951000	0.817127	0.072847	0.096075
35	8.848395	0.362541	0.256966	0.947000	0.818543	0.079712	0.105090
36	8.836955	0.407431	0.256169	0.951000	0.824530	0.078014	0.111599
37	8.832475	0.291547	0.260949	0.945500	0.813240	0.074387	0.083231
38	8.851333	0.325268	0.255120	0.942500	0.817262	0.086349	0.092028
39	8.820457	0.419490	0.256303	0.953000	0.816445	0.070888	0.108249
40	8.809629	0.391696	0.259163	0.946000	0.820320	0.080953	0.104434
41	8.794451	0.325703	0.257771	0.945500	0.818343	0.084771	0.094874
42	8.791080	0.364529	0.263626	0.962500	0.822939	0.059784	0.107685
43	8.771358	0.298504	0.260327	0.950000	0.818613	0.072226	0.083927
44	8.784064	0.427140	0.261263	0.951500	0.822017	0.078154	0.121706
45	8.781188	0.370720	0.262432	0.944500	0.815904	0.083628	0.105846
46	8.755258	0.227487	0.260322	0.949000	0.820833	0.079750	0.071072
47	8.771111	0.352351	0.260756	0.948000	0.819131	0.084746	0.109379
48	8.769606	0.303881	0.259988	0.945000	0.817227	0.082139	0.090143
49	8.760983	0.354512	0.263631	0.951500	0.817373	0.075905	0.105934
