epoch	position	reward
0	0	0.257644
0	1	0.106360
0	2	0.095248
0	3	0.088755
0	4	0.089783
0	5	0.089023
0	6	0.088885
0	7	0.088567
0	8	0.088860
0	9	0.088114
0	10	0.088344
0	11	0.088362
0	12	0.088432
0	13	0.088778
0	14	0.088632
0	15	0.088599
0	16	0.088356
0	17	0.088104
0	18	0.088578
0	19	0.088336
0	0	0.264225
0	1	0.115299
0	2	0.096793
0	3	0.094417
0	4	0.094191
0	5	0.095373
0	6	0.094910
0	7	0.093955
0	8	0.094376
0	9	0.094477
0	10	0.095195
0	11	0.094495
0	12	0.095031
0	13	0.095213
0	14	0.095688
0	15	0.095211
0	16	0.094932
0	17	0.094196
0	18	0.094703
0	19	0.094055
0	0	0.200317
0	1	0.065184
0	2	0.057826
0	3	0.052112
0	4	0.052045
0	5	0.052659
0	6	0.052353
0	7	0.052594
0	8	0.051858
0	9	0.051922
0	10	0.052655
0	11	0.052785
0	12	0.052643
0	13	0.053127
0	14	0.052900
0	15	0.052604
0	16	0.052995
0	17	0.052951
0	18	0.052593
0	19	0.052689
1	0	0.252186
1	1	0.093996
1	2	0.075560
1	3	0.074876
1	4	0.074561
1	5	0.075269
1	6	0.076275
1	7	0.076249
1	8	0.075925
1	9	0.075830
1	10	0.075784
1	11	0.075127
1	12	0.075207
1	13	0.074820
1	14	0.075093
1	15	0.074871
1	16	0.075182
1	17	0.074772
1	18	0.074719
1	19	0.075733
1	0	0.257882
1	1	0.127539
1	2	0.116708
1	3	0.109503
1	4	0.107335
1	5	0.106580
1	6	0.107094
1	7	0.106818
1	8	0.106722
1	9	0.106929
1	10	0.106821
1	11	0.106755
1	12	0.106294
1	13	0.106969
1	14	0.106326
1	15	0.106680
1	16	0.106937
1	17	0.106324
1	18	0.105478
1	19	0.106817
1	0	0.216832
1	1	0.073892
1	2	0.061561
1	3	0.061902
1	4	0.061568
1	5	0.060936
1	6	0.060586
1	7	0.060549
1	8	0.061204
1	9	0.061145
1	10	0.060913
1	11	0.060972
1	12	0.061544
1	13	0.061430
1	14	0.061483
1	15	0.061029
1	16	0.061253
1	17	0.061792
1	18	0.061309
1	19	0.060871
2	0	0.161697
2	1	0.030992
2	2	0.027250
2	3	0.026770
2	4	0.025072
2	5	0.025532
