epoch	nll	pg_loss	d_loss	d_accuracy	real_prob	fake_prob	avg_reward
0	8.967506	0.421698	0.257773	0.946000	0.786672	0.086258	0.084239
1	8.975997	0.483223	0.255681	0.958000	0.804438	0.073721	0.096824
2	8.994478	0.364554	0.249072	0.949000	0.795934	0.082050	0.075806
3	8.986512	0.455817	0.244336	0.947000	0.813059	0.082579	0.084767
4	8.974648	0.450892	0.244887	0.955000	0.813893	0.065661	0.093359
5	9.002041	0.269224	0.246513	0.948000	0.819968	0.071741	0.057586
6	9.011395	0.343060	0.245731	0.959500	0.817149	0.059565	0.071883
7	8.968677	0.362626	0.242632	0.953500	0.828035	0.067748	0.070282
8	9.012346	0.383891	0.241196	0.946500	0.812304	0.064985	0.079027
9	8.999436	0.265555	0.242443	0.941500	0.817856	0.070280	0.056579
10	9.015813	0.276954	0.239995	0.955000	0.835018	0.067726	0.057555
11	9.022219	0.427021	0.242215	0.951500	0.820390	0.059736	0.088701
12	9.046438	0.304235	0.239380	0.952000	0.830441	0.069927	0.068988
13	9.047004	0.275710	0.240716	0.950500	0.826554	0.060528	0.058669
14	9.011668	0.213589	0.240484	0.955500	0.826292	0.055310	0.047601
15	9.040437	0.413449	0.240230	0.959000	0.826766	0.055288	0.090225
16	9.031813	0.351955	0.238349	0.954000	0.835052	0.064559	0.078735
17	9.069450	0.551854	0.237675	0.954000	0.828802	0.052863	0.118676
18	9.078816	0.199120	0.236234	0.956000	0.831528	0.052642	0.045273
19	9.072287	0.178501	0.237509	0.953500	0.829559	0.062102	0.038375
20	9.081823	0.308662	0.238197	0.954500	0.833493	0.064989	0.069646
21	9.057559	0.280180	0.236679	0.962000	0.826065	0.052648	0.059951
22	9.072451	0.402017	0.237246	0.954000	0.825437	0.056812	0.081335
23	9.078928	0.189847	0.236180	0.957000	0.834683	0.056492	0.044095
24	9.056869	0.350990	0.235774	0.944500	0.830874	0.071675	0.075849
25	9.077769	0.340103	0.239366	0.950000	0.834532	0.065633	0.076578
26	9.072502	0.234824	0.236263	0.953500	0.829636	0.060878	0.053924
27	9.063254	0.338238	0.233850	0.960000	0.830852	0.046027	0.073996
28	9.011258	0.238005	0.236397	0.957000	0.827773	0.050734	0.055300
29	9.046579	0.258637	0.234814	0.961000	0.829127	0.056816	0.056152
30	9.042585	0.236905	0.234813	0.958000	0.837888	0.057041	0.053468
31	9.078588	0.329972	0.233709	0.955000	0.832595	0.058242	0.070338
32	9.123777	0.181713	0.234473	0.956500	0.831826	0.055539	0.043274
33	9.056017	0.231122	0.234961	0.957000	0.833491	0.056280	0.051422
34	9.058295	0.240753	0.233351	0.944500	0.830333	0.068499	0.055270
35	9.064744	0.288781	0.231417	0.954000	0.836739	0.057653	0.068425
36	9.082853	0.230673	0.233237	0.961500	0.836315	0.052460	0.052189
37	9.073250	0.316645	0.231802	0.958500	0.838650	0.059606	0.066234
38	9.090501	0.244756	0.232414	0.961500	0.838245	0.049675	0.058013
39	9.071056	0.248857	0.233032	0.953000	0.832698	0.057930	0.057157
40	9.094933	0.326090	0.231275	0.956500	0.825520	0.050881	0.075924
41	9.075717	0.168364	0.233173	0.961500	0.835351	0.051234	0.039707
42	9.079000	0.295825	0.231203	0.956500	0.833250	0.054485	0.068242
43	9.099566	0.270887	0.231094	0.956500	0.836017	0.057884	0.060166
44	9.080548	0.188398	0.232807	0.962500	0.832036	0.042444	0.044686
45	9.076385	0.256352	0.231573	0.961500	0.832089	0.050171	0.059234
46	9.073400	0.175583	0.230020	0.959500	0.836928	0.053055	0.036994
47	9.082023	0.194311	0.231327	0.959500	0.838979	0.052447	0.049145
48	9.074887	0.346284	0.228865	0.956500	0.836392	0.052272	0.079400
49	9.098499	0.214019	0.228535	0.949500	0.827570	0.054501	0.050877
