epoch	nll	pg_loss	d_loss	d_accuracy	real_prob	fake_prob	avg_reward
0	8.780633	0.398480	0.281639	0.959000	0.715378	0.066354	0.078116
1	8.760760	0.355098	0.276035	0.954000	0.732330	0.072546	0.064492
2	8.748266	0.472824	0.270016	0.944000	0.744353	0.084670	0.091369
3	8.706610	0.365820	0.265925	0.948500	0.753370	0.073237	0.073724
4	8.757977	0.420673	0.264156	0.959000	0.765439	0.065888	0.081844
5	8.703741	0.322459	0.260929	0.954000	0.772436	0.062916	0.061440
6	8.644532	0.443280	0.258090	0.951000	0.778006	0.076496	0.088838
7	8.675282	0.457987	0.256907	0.953500	0.789301	0.073054	0.093702
8	8.648418	0.451802	0.257270	0.947000	0.791068	0.077553	0.085966
9	8.692784	0.330100	0.255134	0.948500	0.799138	0.084448	0.068855
10	8.621587	0.277288	0.254955	0.954000	0.805789	0.068465	0.060700
11	8.638535	0.301170	0.249882	0.941000	0.801299	0.086801	0.061580
12	8.642860	0.356232	0.251970	0.951000	0.814133	0.075337	0.071209
13	8.670769	0.409013	0.249132	0.960500	0.815762	0.062953	0.083573
14	8.606623	0.407588	0.251484	0.948000	0.817042	0.077855	0.087410
15	8.612154	0.382466	0.252624	0.950500	0.816167	0.075790	0.078805
16	8.577573	0.288285	0.250827	0.962500	0.820627	0.059112	0.066728
17	8.557615	0.400271	0.252140	0.959000	0.823747	0.066041	0.078291
18	8.576572	0.408662	0.253481	0.957000	0.823157	0.069795	0.092581
19	8.582655	0.391420	0.253435	0.952000	0.815103	0.071970	0.082436
20	8.526995	0.385394	0.254180	0.957000	0.823324	0.065249	0.083479
21	8.546760	0.312445	0.254468	0.958000	0.818210	0.059681	0.068077
22	8.502954	0.353361	0.253316	0.957500	0.821145	0.062907	0.078308
23	8.529923	0.338037	0.251445	0.943000	0.816132	0.074052	0.075802
24	8.505239	0.379693	0.251430	0.959000	0.828222	0.068629	0.081336
25	8.482930	0.220400	0.250723	0.945500	0.821326	0.081822	0.047282
26	8.462231	0.384434	0.248892	0.956500	0.827473	0.064064	0.090092
27	8.476975	0.301614	0.247802	0.953000	0.820948	0.063413	0.071578
28	8.451563	0.388834	0.252517	0.954500	0.826232	0.067466	0.083863
29	8.411704	0.349731	0.249090	0.944500	0.825494	0.085399	0.074045
30	8.423230	0.219975	0.248750	0.951000	0.823249	0.072228	0.052593
31	8.408556	0.320729	0.249787	0.950000	0.827337	0.072737	0.074573
32	8.397678	0.317220	0.249367	0.942500	0.821152	0.081647	0.068535
33	8.380126	0.229964	0.250263	0.951500	0.829908	0.076955	0.053309
34	8.401517	0.354320	0.252564	0.959500	0.827145	0.058565	0.078981
35	8.350491	0.335186	0.250429	0.948500	0.819613	0.067483	0.081008
36	8.379058	0.300506	0.254022	0.953000	0.825594	0.067513	0.072343
37	8.317619	0.357767	0.252260	0.960000	0.830081	0.064140	0.083548
38	8.318647	0.243947	0.250601	0.950500	0.822670	0.068886	0.057385
39	8.301103	0.299060	0.250019	0.953500	0.827243	0.067436	0.076507
40	8.326013	0.305126	0.252335	0.950000	0.828959	0.075673	0.074992
41	8.298800	0.290068	0.250004	0.952500	0.828815	0.073585	0.068893
42	8.269303	0.197949	0.250990	0.951500	0.828672	0.070189	0.050812
43	8.278863	0.301790	0.249072	0.956500	0.828582	0.067943	0.075452
44	8.256673	0.344751	0.248326	0.963000	0.834858	0.060686	0.087199
45	8.195989	0.426946	0.254856	0.948000	0.821924	0.072956	0.093398
46	8.194736	0.353993	0.253798	0.955000	0.825812	0.064692	0.092068
47	8.249170	0.245158	0.251412	0.945000	0.827770	0.086547	0.063441
48	8.194995	0.210675	0.252678	0.951500	0.823369	0.067467	0.062039
49	8.229121	0.348808	0.253665	0.958500	0.826259	0.067217	0.088084
