epoch	nll	pg_loss	d_loss	d_accuracy	real_prob	fake_prob	avg_reward
0	9.038754	0.880547	0.279710	0.959500	0.800281	0.125942	0.168416
1	9.002813	0.671070	0.268659	0.964000	0.810031	0.109687	0.128285
2	9.039505	0.636625	0.262355	0.965500	0.825407	0.113775	0.122195
3	9.056314	0.460754	0.258233	0.969000	0.828738	0.094837	0.095436
4	9.044071	0.600082	0.256213	0.968000	0.834078	0.091118	0.117461
5	9.050782	0.393202	0.253284	0.967500	0.837555	0.083414	0.081098
6	9.025949	0.513269	0.250868	0.968000	0.845126	0.080575	0.101755
7	9.062019	0.356244	0.248594	0.966000	0.846691	0.082354	0.076226
8	9.007121	0.352094	0.247324	0.966500	0.851531	0.077882	0.072945
9	9.033751	0.345623	0.248916	0.969500	0.851782	0.074737	0.073009
10	9.035182	0.401920	0.247408	0.971000	0.858639	0.075202	0.079223
11	9.034609	0.341221	0.244955	0.970000	0.856833	0.076508	0.073641
12	9.013489	0.309369	0.244230	0.968500	0.845658	0.060093	0.069307
13	9.005068	0.342783	0.243969	0.971000	0.855967	0.066246	0.074444
14	9.025093	0.340198	0.245524	0.966000	0.847531	0.057821	0.070772
15	9.002808	0.291048	0.243605	0.968500	0.850685	0.060918	0.066670
16	9.030446	0.237044	0.241925	0.971000	0.855771	0.059032	0.053825
17	9.009901	0.275273	0.240663	0.968500	0.851441	0.061859	0.061210
18	9.034037	0.280559	0.241264	0.971500	0.853369	0.053137	0.062985
19	9.000970	0.460623	0.241539	0.977500	0.863258	0.059882	0.090355
20	8.995698	0.346091	0.240005	0.972500	0.857615	0.063838	0.073377
21	8.996760	0.309362	0.239806	0.966000	0.853470	0.062462	0.066571
22	8.956217	0.286259	0.239871	0.968500	0.852046	0.056124	0.065107
23	8.986091	0.344308	0.241132	0.967000	0.854382	0.061877	0.073281
24	8.942687	0.376411	0.238216	0.968500	0.858724	0.066378	0.078444
25	8.982825	0.232507	0.240136	0.968500	0.850521	0.057353	0.051367
26	9.005525	0.203220	0.238433	0.973000	0.853541	0.052157	0.050249
27	8.995679	0.349583	0.240198	0.972500	0.855197	0.056938	0.077292
28	8.998308	0.218525	0.236908	0.971000	0.852720	0.052616	0.050600
29	8.986293	0.304875	0.238902	0.969000	0.854974	0.057761	0.067570
30	8.983191	0.290031	0.238862	0.966000	0.849648	0.053294	0.061227
31	8.988463	0.188276	0.238487	0.969500	0.854583	0.056058	0.046292
32	8.998242	0.265059	0.239477	0.972500	0.855218	0.044931	0.062920
33	9.055341	0.197178	0.237205	0.969500	0.860957	0.059995	0.046228
34	9.040659	0.321294	0.238886	0.975500	0.857465	0.047417	0.072931
35	9.025607	0.258575	0.236540	0.971000	0.856240	0.054389	0.056565
36	9.026411	0.289181	0.237581	0.968500	0.856278	0.061326	0.065140
37	9.001609	0.156661	0.237799	0.966000	0.851362	0.054835	0.041277
38	9.014007	0.161752	0.237151	0.973500	0.854586	0.048937	0.040728
39	8.985256	0.230118	0.237656	0.970500	0.854536	0.053124	0.055659
40	8.973922	0.262461	0.236748	0.971500	0.854337	0.053743	0.061530
41	8.980450	0.283361	0.238202	0.973500	0.860008	0.054735	0.065525
42	9.018241	0.251272	0.238266	0.970500	0.856305	0.055711	0.060150
43	9.024548	0.174617	0.238983	0.964000	0.847754	0.058114	0.044535
44	8.976148	0.242371	0.235621	0.973000	0.857915	0.055393	0.060892
45	8.960935	0.281975	0.237872	0.973000	0.854079	0.046476	0.067066
46	8.986281	0.241115	0.239092	0.967500	0.845734	0.046144	0.061550
47	8.972089	0.226064	0.237586	0.969500	0.851931	0.054603	0.054914
48	8.981536	0.268792	0.236977	0.973000	0.854896	0.044845	0.069428
49	8.994038	0.219796	0.234780	0.974000	0.858238	0.052235	0.058300
