epoch	nll	pg_loss	d_loss	d_accuracy	real_prob	fake_prob	avg_reward
0	9.120471	0.498646	0.244134	0.962500	0.830168	0.083614	0.088811
1	9.173347	0.718162	0.240536	0.965000	0.845099	0.077649	0.120203
2	9.170223	0.562848	0.237623	0.963000	0.850147	0.079069	0.099810
3	9.168799	0.559568	0.237356	0.968500	0.854658	0.063762	0.100101
4	9.143599	0.500817	0.235415	0.961000	0.855775	0.070126	0.093307
5	9.174870	0.526168	0.234477	0.961000	0.851009	0.069206	0.098715
6	9.137283	0.432391	0.233446	0.955500	0.847860	0.076848	0.082698
7	9.108874	0.427888	0.235961	0.971000	0.859423	0.064447	0.084055
8	9.178073	0.428519	0.235781	0.956500	0.846968	0.070680	0.085358
9	9.117034	0.308709	0.235619	0.960000	0.844336	0.066841	0.067375
10	9.086931	0.368431	0.234817	0.963000	0.846273	0.057190	0.073042
11	9.150127	0.438722	0.234361	0.961000	0.847246	0.060251	0.084892
12	9.111125	0.415208	0.232902	0.966000	0.849378	0.053075	0.086911
13	9.126071	0.395784	0.234073	0.961500	0.846841	0.057687	0.083995
14	9.105741	0.307015	0.232669	0.958500	0.851003	0.065267	0.066317
15	9.145018	0.339635	0.231829	0.958500	0.845995	0.055539	0.071398
16	9.113778	0.553046	0.229443	0.955000	0.851391	0.065449	0.108246
17	9.077846	0.393101	0.231113	0.958500	0.848266	0.059204	0.083118
18	9.064412	0.227364	0.231585	0.964500	0.854659	0.061507	0.053980
19	9.109016	0.459146	0.232257	0.965500	0.848879	0.052111	0.093859
20	9.168539	0.369928	0.231909	0.965000	0.850719	0.056211	0.080526
21	9.069395	0.283215	0.233187	0.961000	0.843248	0.052932	0.066393
22	9.073081	0.349919	0.232624	0.968500	0.854444	0.063296	0.074168
23	9.092820	0.371863	0.232924	0.955000	0.848514	0.072600	0.081839
24	9.099539	0.318579	0.231283	0.961500	0.852178	0.063379	0.072625
25	9.054462	0.337745	0.231799	0.963500	0.847050	0.052362	0.076914
26	9.085318	0.336997	0.232413	0.963500	0.851218	0.052751	0.074931
27	9.070212	0.302601	0.230027	0.960000	0.845102	0.057813	0.069200
28	9.090417	0.368440	0.231096	0.957500	0.837713	0.060235	0.081628
29	9.102429	0.486700	0.231505	0.960000	0.848858	0.059565	0.101391
30	9.084256	0.471942	0.232676	0.963000	0.850695	0.054760	0.094974
31	9.098661	0.395736	0.230373	0.956000	0.848880	0.061797	0.084040
32	9.061743	0.351009	0.232305	0.959000	0.843015	0.058176	0.078176
33	9.042850	0.318817	0.230604	0.962000	0.847412	0.047756	0.073183
34	9.086726	0.346063	0.232335	0.958000	0.844496	0.054471	0.077109
35	9.091160	0.338157	0.232024	0.964500	0.846509	0.052561	0.075938
36	9.073690	0.297642	0.232806	0.962000	0.847531	0.055120	0.070801
37	9.076831	0.410586	0.232670	0.959000	0.846106	0.065901	0.091133
38	9.104088	0.240452	0.232149	0.961500	0.845338	0.058458	0.060297
39	9.049323	0.316555	0.232627	0.958000	0.849345	0.065032	0.076410
40	9.115924	0.318936	0.232918	0.957500	0.845926	0.056571	0.074609
41	9.094469	0.235497	0.232923	0.949500	0.840433	0.063303	0.059695
42	9.056845	0.398782	0.233063	0.960000	0.846134	0.059540	0.088797
43	9.108162	0.263564	0.233062	0.968500	0.854230	0.049209	0.068802
44	9.095745	0.337142	0.233457	0.959500	0.846494	0.053247	0.085398
45	9.091922	0.312978	0.235580	0.957000	0.844279	0.059770	0.076191
46	9.101135	0.346088	0.234831	0.954000	0.832346	0.053464	0.079585
47	9.097651	0.359671	0.233368	0.962500	0.848079	0.052383	0.086285
48	9.047709	0.324769	0.233598	0.960000	0.842383	0.050732	0.077357
49	9.079956	0.222021	0.232332	0.960000	0.843636	0.053117	0.059308
