epoch	position	reward
0	0	0.530787
0	1	0.085566
0	2	0.075165
0	3	0.075991
0	4	0.073449
0	5	0.073212
0	6	0.073571
0	7	0.074054
0	8	0.073797
0	9	0.073763
0	10	0.073884
0	11	0.073938
0	12	0.073935
0	13	0.074006
0	14	0.074102
0	15	0.073948
0	16	0.074078
0	17	0.073733
0	18	0.074034
0	19	0.074165
0	0	0.523547
0	1	0.102493
0	2	0.075153
0	3	0.071325
0	4	0.070738
0	5	0.070826
0	6	0.071214
0	7	0.070374
0	8	0.069457
0	9	0.069803
0	10	0.069575
0	11	0.069545
0	12	0.069846
0	13	0.069480
0	14	0.069749
0	15	0.069586
0	16	0.069658
0	17	0.069798
0	18	0.069890
0	19	0.069737
0	0	0.512470
0	1	0.107307
0	2	0.102383
0	3	0.102984
0	4	0.104692
0	5	0.103488
0	6	0.102681
0	7	0.103324
0	8	0.103179
0	9	0.103429
0	10	0.103061
0	11	0.103119
0	12	0.103146
0	13	0.103311
0	14	0.103520
0	15	0.103090
0	16	0.102949
0	17	0.103065
0	18	0.102882
0	19	0.103081
1	0	0.541199
1	1	0.120879
1	2	0.107448
1	3	0.105695
1	4	0.104616
1	5	0.105063
1	6	0.106858
1	7	0.106760
1	8	0.106917
1	9	0.107214
1	10	0.108154
1	11	0.108500
1	12	0.108621
1	13	0.108688
1	14	0.108474
1	15	0.108550
1	16	0.108438
1	17	0.108255
1	18	0.108361
1	19	0.108264
1	0	0.540301
1	1	0.047930
1	2	0.032860
1	3	0.023740
1	4	0.020806
1	5	0.020926
1	6	0.020402
1	7	0.021377
1	8	0.021952
1	9	0.021878
1	10	0.021964
1	11	0.022000
1	12	0.022063
1	13	0.022036
1	14	0.021938
1	15	0.022056
1	16	0.022038
1	17	0.022017
1	18	0.022088
1	19	0.022137
1	0	0.516421
1	1	0.059404
1	2	0.046379
1	3	0.046959
1	4	0.050788
1	5	0.048088
1	6	0.049878
1	7	0.048759
1	8	0.048543
1	9	0.048400
1	10	0.048221
1	11	0.047966
1	12	0.048132
1	13	0.048043
1	14	0.048124
1	15	0.048077
1	16	0.048312
1	17	0.048353
1	18	0.048390
1	19	0.048596
2	0	0.514587
2	1	0.099073
2	2	0.092434
2	3	0.093936
2	4	0.095420
2	5	0.096416
2	6	0.097182
2	7	0.096031
2	8	0.095943
2	9	0.094446
2	10	0.094816
2	11	0.094581
2	12	0.094906
2	13	0.094753
2	14	0.094671
2	15	0.094638
2	16	0.094555
2	17	0.094458
2	18	0.094755
2	19	0.094936
2	0	0.519966
2	1	0.048664
2	2	0.041550
2	3	0.040166
2	4	0.041527
2	5	0.040831
2	6	0.039583
2	7	0.039573
2	8	0.039808
2	9	0.039805
2	10	0.039841
2	11	0.039785
2	12	0.039856
2	13	0.039880
2	14	0.039888
2	15	0.039732
2	16	0.039767
2	17	0.039704
2	18	0.039707
2	19	0.039922
2	0	0.521998
2	1	0.086528
2	2	0.078738
2	3	0.074872
2	4	0.074580
2	5	0.074305
2	6	0.074831
2	7	0.074395
2	8	0.074640
2	9	0.074532
2	10	0.074762
2	11	0.074631
2	12	0.074916
2	13	0.074788
2	14	0.075037
2	15	0.074804
2	16	0.074799
2	17	0.074845
2	18	0.074592
2	19	0.074963
3	0	0.504813
3	1	0.088084
3	2	0.073979
3	3	0.071145
3	4	0.071409
3	5	0.070103
3	6	0.071143
3	7	0.071558
3	8	0.071342
3	9	0.069497
3	10	0.070996
3	11	0.070607
3	12	0.070395
3	13	0.070193
3	14	0.070124
3	15	0.070020
3	16	0.070129
3	17	0.069966
3	18	0.070221
3	19	0.069827
3	0	0.545475
3	1	0.063477
3	2	0.063065
3	3	0.064783
3	4	0.065179
3	5	0.063953
3	6	0.063386
3	7	0.062692
3	8	0.062884
3	9	0.062385
3	10	0.062296
3	11	0.062374
3	12	0.062501
3	13	0.062572
3	14	0.062569
3	15	0.062716
3	16	0.062731
3	17	0.062607
3	18	0.062479
3	19	0.062720
3	0	0.529374
3	1	0.082890
3	2	0.066113
3	3	0.063235
3	4	0.064693
3	5	0.063383
3	6	0.061904
3	7	0.061165
3	8	0.063081
3	9	0.062453
3	10	0.061928
3	11	0.061613
3	12	0.061905
3	13	0.061237
3	14	0.062489
3	15	0.062484
3	16	0.062618
3	17	0.062526
3	18	0.062512
3	19	0.062408
4	0	0.525356
4	1	0.087804
4	2	0.076810
4	3	0.076580
4	4	0.075740
4	5	0.078070
4	6	0.077828
4	7	0.076201
4	8	0.076625
4	9	0.076230
4	10	0.076076
4	11	0.075876
4	12	0.076084
4	13	0.075910
4	14	0.076029
4	15	0.076093
4	16	0.076274
4	17	0.076244
4	18	0.076408
4	19	0.076247
4	0	0.489277
4	1	0.045755
4	2	0.047170
4	3	0.046935
4	4	0.045728
4	5	0.044849
4	6	0.044903
4	7	0.045610
4	8	0.045852
4	9	0.044686
4	10	0.044650
4	11	0.044611
4	12	0.044941
4	13	0.044660
4	14	0.044503
4	15	0.044407
4	16	0.044431
4	17	0.044360
4	18	0.044480
4	19	0.044711
4	0	0.498460
4	1	0.042828
4	2	0.034249
4	3	0.027087
4	4	0.026502
4	5	0.026792
4	6	0.026446
4	7	0.026851
4	8	0.027290
4	9	0.027024
4	10	0.026914
4	11	0.026966
4	12	0.027012
4	13	0.026954
4	14	0.026986
4	15	0.026899
4	16	0.026879
4	17	0.026794
4	18	0.027053
4	19	0.026964
5	0	0.521187
5	1	0.071091
5	2	0.061494
5	3	0.069043
5	4	0.071851
5	5	0.072519
5	6	0.073966
5	7	0.071573
5	8	0.072806
5	9	0.072600
5	10	0.071839
5	11	0.072792
5	12	0.070646
5	13	0.072721
5	14	0.072944
5	15	0.072498
5	16	0.072407
5	17	0.072307
5	18	0.072312
5	19	0.072489
5	0	0.533705
5	1	0.104792
5	2	0.075483
5	3	0.074383
5	4	0.067819
5	5	0.069617
5	6	0.071374
5	7	0.071470
5	8	0.070041
5	9	0.070330
5	10	0.070180
5	11	0.069377
5	12	0.069877
5	13	0.069693
5	14	0.069823
5	15	0.069916
5	16	0.070135
5	17	0.069937
5	18	0.070067
5	19	0.069863
5	0	0.528320
5	1	0.090313
5	2	0.075469
5	3	0.077787
5	4	0.078334
5	5	0.078920
5	6	0.079310
5	7	0.079225
5	8	0.078448
5	9	0.078469
5	10	0.078555
5	11	0.078658
5	12	0.078282
5	13	0.078258
5	14	0.078356
5	15	0.078374
5	16	0.078322
5	17	0.078189
5	18	0.078311
5	19	0.078161
6	0	0.488962
6	1	0.072863
6	2	0.074482
6	3	0.074754
6	4	0.076763
6	5	0.076703
6	6	0.076311
6	7	0.076927
6	8	0.077296
6	9	0.077626
6	10	0.077458
6	11	0.077910
6	12	0.077812
6	13	0.077340
6	14	0.077538
6	15	0.077844
6	16	0.077997
6	17	0.077884
6	18	0.078307
6	19	0.077847
6	0	0.534433
6	1	0.078937
6	2	0.074453
6	3	0.071587
6	4	0.071330
6	5	0.071660
6	6	0.071116
6	7	0.071099
6	8	0.071311
6	9	0.070975
6	10	0.070836
6	11	0.070969
6	12	0.070870
6	13	0.070882
6	14	0.070915
6	15	0.070798
6	16	0.070821
6	17	0.070781
6	18	0.070838
6	19	0.070894
6	0	0.545638
6	1	0.141020
6	2	0.129978
6	3	0.130685
6	4	0.131285
