epoch	position	reward
0	0	0.177322
0	1	0.104479
0	2	0.084805
0	3	0.077217
0	4	0.077094
0	5	0.074667
0	6	0.076093
0	7	0.075574
0	8	0.078799
0	9	0.079170
0	10	0.079341
0	11	0.081641
0	12	0.081728
0	13	0.081603
0	14	0.081313
0	15	0.081346
0	16	0.081675
0	17	0.081779
0	18	0.080966
0	19	0.081391
0	0	0.183931
0	1	0.095765
0	2	0.086005
0	3	0.088878
0	4	0.077287
0	5	0.068349
0	6	0.067063
0	7	0.064440
0	8	0.064997
0	9	0.064687
0	10	0.064383
0	11	0.065122
0	12	0.064867
0	13	0.065173
0	14	0.064475
0	15	0.065212
0	16	0.065018
0	17	0.064592
0	18	0.065331
0	19	0.065619
0	0	0.139749
0	1	0.081098
0	2	0.073743
0	3	0.072481
0	4	0.075185
0	5	0.074271
0	6	0.075671
0	7	0.077645
0	8	0.076407
0	9	0.076045
0	10	0.076715
0	11	0.075557
0	12	0.072461
0	13	0.076212
0	14	0.076623
0	15	0.075100
0	16	0.077758
0	17	0.077093
0	18	0.077181
0	19	0.078306
1	0	0.169889
1	1	0.095214
1	2	0.071200
1	3	0.068165
1	4	0.068905
1	5	0.068526
1	6	0.074213
1	7	0.071022
1	8	0.071172
1	9	0.071462
1	10	0.071011
1	11	0.071663
1	12	0.071471
1	13	0.071891
1	14	0.071673
1	15	0.071582
1	16	0.071543
1	17	0.071743
1	18	0.072175
1	19	0.071517
1	0	0.181924
1	1	0.098987
1	2	0.072982
1	3	0.080595
1	4	0.074607
1	5	0.078922
1	6	0.077490
1	7	0.082223
1	8	0.078607
1	9	0.080398
1	10	0.079996
1	11	0.076378
1	12	0.076106
1	13	0.076285
1	14	0.076354
1	15	0.076179
1	16	0.076361
1	17	0.076360
1	18	0.076741
1	19	0.077865
1	0	0.173919
1	1	0.129114
1	2	0.104685
1	3	0.097311
1	4	0.100986
1	5	0.100051
1	6	0.104704
1	7	0.100171
1	8	0.106536
1	9	0.106355
1	10	0.106963
1	11	0.105333
